"","fte_pollster_ratings_id","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Warren","Trump","fte_pollster_name","Pollster","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"11", 88,"Emerson","125138","poll","11/17 - 11/20","","1092 RV","2.9","",Tie,,,,2019-11-21 12:36:27,"https://emersonpolling.reportablenews.com/pr/november-national-poll-support-for-impeachment-declines-biden-and-sanders-lead-democratic-primary",2019-11-17,2019-11-20,"1","Tie","","","",50.0,50.0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"12", 88,"Emerson","124404","poll","10/18 - 10/21","","1000 RV","3.0","",Warren,Democrat,+2.0,,2019-10-22 12:29:58,"https://emersonpolling.reportablenews.com/pr/october-national-poll-biden-sanders-warren-maintain-front-runner-status-in-democratic-primary",2019-10-18,2019-10-21,"1","Warren","Democrat","+2.0","",51.0,49.0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"13", 88,"Emerson","126135","poll","1/21 - 1/23","","1128 RV","2.8","",Tie,,,,2020-01-23 22:49:40,"https://emersonpolling.reportablenews.com/pr/national-2020-biden-and-sanders-battle-in-two-way-race-for-democratic-nomination",2020-01-21,2020-01-23,"1","Tie","","","",50.0,50.0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"14", 88,"Emerson","123751","poll","9/21 - 9/23","","1019 RV","3.0","",Warren,Democrat,+2.0,,2019-09-24 12:38:06,"https://emersonpolling.reportablenews.com/pr/september-national-poll-warren-surges-biden-slips-and-sanders-holds-creating-three-way-dead-heat-for-the-nomination",2019-09-21,2019-09-23,"1","Warren","Democrat","+2.0","",51.0,49.0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"15", 88,"Emerson","125582","poll","12/15 - 12/17","","1222 RV","2.7","",Warren,Democrat,+2.0,,2019-12-17 23:30:40,"https://emersonpolling.reportablenews.com/pr/december-national-poll-biden-and-sanders-pull-away-from-the-pack-as-warren-falls",2019-12-15,2019-12-17,"1","Warren","Democrat","+2.0","",51.0,49.0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"16", 88,"Emerson","122978","poll","7/27 - 7/29","","1233 RV","2.7","",Tie,,,,2019-07-30 08:32:07,"https://emersonpolling.reportablenews.com/pr/july-national-poll-biden-extends-support-while-bernie-bounces-back",2019-07-27,2019-07-29,"1","Tie","","","",50.0,50.0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"17", 88,"Emerson","122484","poll","6/21 - 6/24","","1096 RV","2.9","",Warren,Democrat,+6.0,,2019-06-25 07:40:58,"https://emersonpolling.reportablenews.com/pr/june-national-poll-all-eyes-on-the-democratic-debates-biden-sanders-and-warren-separate-from-the-field",2019-06-21,2019-06-24,"1","Warren","Democrat","+6.0","",53.0,47.0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"18", 88,"Emerson","122686","poll","7/6 - 7/8","","1100 RV","2.9","",Trump,Republican,+2.0,,2019-07-09 08:58:16,"https://emersonpolling.reportablenews.com/pr/july-national-poll-biden-extends-lead-in-democratic-primary-trump-closes-the-gap-in-the-general-election",2019-07-06,2019-07-08,"1","Trump","Republican","+2.0","",49.0,51.0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"19", 88,"Emerson","115891","poll","10/12 - 10/14","","820 RV","3.4","",Tie,,,,2017-10-23 10:37:58,"http://www.emerson.edu/sites/default/files/Files/Academics/ecp-10.16-national.press_.release.pdf",2017-10-12,2017-10-14,"1","Tie","","","",44.0,44.0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"20", 88,"Emerson","120813","poll","2/14 - 2/16","","1000 RV","3.3","",Warren,Democrat,+6.0,,2019-02-16 18:22:24,"http://emersonpolling.com/2019/02/16/majority-of-americans-disagree-with-trumps-national-emergency-despite-a-plurality-agreeing-with-border-wall-extension/",2019-02-14,2019-02-16,"1","Warren","Democrat","+6.0","",53.0,47.0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"21", 88,"Emerson","123367","poll","8/24 - 8/26","","1458 RV","2.5","",Tie,,,,2019-08-27 12:18:16,"https://emersonpolling.reportablenews.com/pr/august-national-poll-sanders-closing-gap-with-biden-mayor-pete-fades",2019-08-24,2019-08-26,"1","Tie","","","",50.0,50.0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"22", 88,"Emerson","121171","poll","3/17 - 3/18","","1153 RV","2.8","",Warren,Democrat,+2.0,,2019-03-20 09:46:47,"http://emersonpolling.com/2019/03/19/national-poll-sanders-tied-with-biden-beto-gets-post-announcement-bump/",2019-03-17,2019-03-18,"1","Warren","Democrat","+2.0","",51.0,49.0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"23", 88,"Emerson","121522","poll","4/11 - 4/14","","914 RV","3.2","",Trump,Republican,+4.0,,2019-04-15 08:09:45,"http://emersonpolling.com/2019/04/15/april-national-poll-bernie-takes-lead-for-democratic-nomination-mayor-pete-on-the-move/",2019-04-11,2019-04-14,"1","Trump","Republican","+4.0","",48.0,52.0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"24",103,"FOX News","124707","poll","10/27 - 10/30","","1040 RV","3.0","",Warren,Democrat,+5.0,,2019-11-03 09:35:10,"https://www.foxnews.com/politics/fox-news-poll-biden-leads-nomination-race-tops-trump-by-12-points-in-matchup",2019-10-27,2019-10-30,"1","Warren","Democrat","+5.0","",46.0,41.0,"Fox News/Beacon Research/Shaw & Co. Research","Fox News/Beacon Research/Shaw & Co. Research", 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"25",103,"FOX News","126172","poll","1/19 - 1/22","","1005 RV","3.0","",Warren,Democrat,+5.0,,2020-01-26 09:36:28,"https://www.foxnews.com/politics/fox-news-poll-record-economy-ratings-as-half-say-senate-should-remove-trump",2020-01-19,2020-01-22,"1","Warren","Democrat","+5.0","",47.0,42.0,"Fox News/Beacon Research/Shaw & Co. Research","Fox News/Beacon Research/Shaw & Co. Research", 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"26",103,"FOX News","122946","poll","7/21 - 7/23","","1004 RV","3.0","",Trump,Republican,+1.0,,2019-07-25 18:04:17,"https://www.foxnews.com/politics/fox-news-poll-biden-holds-commanding-lead-for-democratic-nomination",2019-07-21,2019-07-23,"1","Trump","Republican","+1.0","",41.0,42.0,"Fox News/Beacon Research/Shaw & Co. Research","Fox News/Beacon Research/Shaw & Co. Research", 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"27",103,"FOX News","123249","poll","8/11 - 8/13","","1013 RV","3.0","",Warren,Democrat,+7.0,,2019-08-15 18:13:15,"https://www.foxnews.com/politics/fox-news-poll-8-15",2019-08-11,2019-08-13,"1","Warren","Democrat","+7.0","",46.0,39.0,"Fox News/Beacon Research/Shaw & Co. Research","Fox News/Beacon Research/Shaw & Co. Research", 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"28",103,"FOX News","121931","poll","5/11 - 5/14","","1001 RV","3.0","",Warren,Democrat,+2.0,,2019-05-16 18:10:48,"https://www.foxnews.com/politics/fox-news-poll-biden-up-by-double-digits-in-democratic-race",2019-05-11,2019-05-14,"1","Warren","Democrat","+2.0","",43.0,41.0,"Fox News/Beacon Research/Shaw & Co. Research","Fox News/Beacon Research/Shaw & Co. Research", 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"29",103,"FOX News","125521","poll","12/8 - 12/11","","1000 RV","3.0","",Warren,Democrat,+1.0,,2019-12-15 10:44:52,"https://www.foxnews.com/politics/fox-news-poll-results-december-8-11-2019",2019-12-08,2019-12-11,"1","Warren","Democrat","+1.0","",46.0,45.0,"Fox News/Beacon Research/Shaw & Co. Research","Fox News/Beacon Research/Shaw & Co. Research", 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"30",103,"FOX News","121239","poll","3/17 - 3/20","","1002 RV","3.0","",Trump,Republican,+2.0,,2019-03-24 10:54:43,"https://www.foxnews.com/politics/fox-news-poll-biden-sanders-top-democratic-preference",2019-03-17,2019-03-20,"1","Trump","Republican","+2.0","",40.0,42.0,"Fox News/Beacon Research/Shaw & Co. Research","Fox News/Beacon Research/Shaw & Co. Research", 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"31",103,"FOX News","124243","poll","10/6 - 10/8","","1003 RV","3.0","",Warren,Democrat,+10.0,,2019-10-10 18:01:40,"https://www.scribd.com/document/429686638/Fox-News-Poll-October-6-8-2019",2019-10-06,2019-10-08,"1","Warren","Democrat","+10.0","",50.0,40.0,"Fox News/Beacon Research/Shaw & Co. Research","Fox News/Beacon Research/Shaw & Co. Research", 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"32",103,"FOX News","123709","poll","9/15 - 9/17","","1008 RV","3.0","",Warren,Democrat,+6.0,,2019-09-18 18:18:10,"https://www.foxnews.com/politics/fox-news-poll-september-15-17-2019",2019-09-15,2019-09-17,"1","Warren","Democrat","+6.0","",46.0,40.0,"Fox News/Beacon Research/Shaw & Co. Research","Fox News/Beacon Research/Shaw & Co. Research", 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"33",103,"FOX News","122353","poll","6/9 - 6/12","","1001 RV","3.0","",Warren,Democrat,+2.0,,2019-06-16 12:07:19,"https://www.foxnews.com/politics/fox-news-poll-6-16",2019-06-09,2019-06-12,"1","Warren","Democrat","+2.0","",43.0,41.0,"Fox News/Beacon Research/Shaw & Co. Research","Fox News/Beacon Research/Shaw & Co. Research", 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"34",144,"IBD/TIPP","126295","poll","1/23 - 1/30","","856 RV","3.3","",Trump,Republican,+4.0,,2020-01-31 15:52:55,"https://www.investors.com/politics/trump-impeachment-trial-americans-oppose-removal-ibd-tipp/",2020-01-23,2020-01-30,"1","Trump","Republican","+4.0","",46.0,50.0,"IBD/TIPP","IBD/TIPP", 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"35",144,"IBD/TIPP","124019","poll","9/26 - 10/3","","863 RV","3.5","",Warren,Democrat,+2.0,,2019-10-07 08:41:31,"https://www.investors.com/politics/americans-back-trump-impeachment-ukraine-scandal-biden-probe/",2019-09-26,2019-10-03,"1","Warren","Democrat","+2.0","",48.0,46.0,"IBD/TIPP","IBD/TIPP", 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"36",144,"IBD/TIPP","124768","poll","10/24 - 10/31","","863 RV","3.5","",Warren,Democrat,+8.0,,2019-11-04 14:24:51,"https://www.investors.com/news/joe-biden-leads-elizabeth-warren-both-beat-trump-2020-election-ibd-tipp/",2019-10-24,2019-10-31,"1","Warren","Democrat","+8.0","",52.0,44.0,"IBD/TIPP","IBD/TIPP", 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"37",144,"IBD/TIPP","125929","poll","1/3 - 1/11","","846 RV","3.3","",Trump,Republican,+1.0,,2020-01-13 22:31:14,"https://www.investors.com/politics/trump-impeachment-support-dips-americans-back-trump-on-iran-economy/",2020-01-03,2020-01-11,"1","Trump","Republican","+1.0","",46.0,47.0,"IBD/TIPP","IBD/TIPP", 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"38",144,"IBD/TIPP","123439","poll","8/22 - 8/30","","848 RV","3.5","",Warren,Democrat,+3.0,,2019-09-03 14:39:51,"https://www.investors.com/news/elizabeth-warren-joe-biden-sanders-democratic-race-biden-vs-trump/",2019-08-22,2019-08-30,"1","Warren","Democrat","+3.0","",49.0,46.0,"IBD/TIPP","IBD/TIPP", 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"39",144,"IBD/TIPP","125545","poll","12/5 - 12/14","","849 RV","3.5","",Trump,Republican,+4.0,,2019-12-16 14:20:35,"https://www.investors.com/news/joe-biden-leads-democrats-president-trump-tops-elizabeth-warren-bernie-sanders-ibd-tipp-poll/",2019-12-05,2019-12-14,"1","Trump","Republican","+4.0","",45.0,49.0,"IBD/TIPP","IBD/TIPP", 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"40",144,"IBD/TIPP","123134","poll","7/25 - 8/1","","856 RV","3.5","",Warren,Democrat,+4.0,,2019-08-07 15:53:43,"https://www.investors.com/politics/joe-biden-has-big-lead-president-trump-job-approval-slides-ibd-tipp-poll/",2019-07-25,2019-08-01,"1","Warren","Democrat","+4.0","",49.0,45.0,"IBD/TIPP","IBD/TIPP", 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"41",183,"NPR/PBS/Marist","126530","poll_rcp_avg","2/13 - 2/16","","1164 RV","3.7","",Warren,Democrat,+1.0,,2020-02-18 08:02:20,"http://maristpoll.marist.edu/wp-content/uploads/2020/02/UPDATED_Tuesday-Release_NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_2002171446.pdf",2020-02-13,2020-02-16,"1","Warren","Democrat","+1.0","",47.0,46.0,"Marist College","Marist College",172,"yes","yes","Live","no",-1.1,-1.0,"A+","R +0.2","84%","24%",5.2,6.3,-1.0,-1.1,-0.9,-1.0,111,"R +0.2","R +0.2","R +0.0",5.1,0.03
"42",218,"Politico/Morning Consult","123306","poll","8/16 - 8/18","","1998 RV","2.0","",Tie,,,,2019-08-21 10:31:26,"https://morningconsult.com/wp-content/uploads/2019/08/190845_crosstabs_POLITICO_RVs_v1_JB.pdf",2019-08-16,2019-08-18,"1","Tie","","","",35.0,35.0,"Morning Consult","Morning Consult", 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"43",218,"Politico/Morning Consult","124618","poll","10/25 - 10/28","","1997 RV","2.0","",Trump,Republican,+1.0,,2019-10-30 09:05:05,"https://morningconsult.com/wp-content/uploads/2019/10/191058_crosstabs_POLITICO_RVs_v2_JB.pdf",2019-10-25,2019-10-28,"1","Trump","Republican","+1.0","",35.0,36.0,"Morning Consult","Morning Consult", 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"44",218,"Politico/Morning Consult","122267","poll","6/7 - 6/9","","1991 RV","2.0","",Trump,Republican,+1.0,,2019-06-12 08:47:17,"https://morningconsult.com/wp-content/uploads/2019/06/190618_crosstabs_POLITICO_RVs_v1_cxy7nwRpto.pdf",2019-06-07,2019-06-09,"1","Trump","Republican","+1.0","",32.0,33.0,"Morning Consult","Morning Consult", 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"45",221,"NBC News/Wall St. Jrnl","122748","poll","7/7 - 7/9","","800 RV","3.5","",Warren,Democrat,+5.0,,2019-07-14 10:11:57,"https://www.documentcloud.org/documents/6192907-NBCWSJ-July-Poll.html",2019-07-07,2019-07-09,"1","Warren","Democrat","+5.0","",48.0,43.0,"NBC News/Wall Street Journal","NBC News/Wall Street Journal", 29,"yes","yes","Live","no",-0.6,-0.4,"A/B°","D +0.8","74%","14%",4.0,5.0,-0.8,-0.6,-0.3,-0.4, 24,"D +1.7","D +0.8","D +1.3",2.9,0.53
"46",221,"NBC News/Wall St. Jrnl","126306","poll","1/26 - 1/29","","1000 RV","3.1","",Warren,Democrat,+3.0,,2020-02-02 10:57:36,"https://www.nbcnews.com/politics/meet-the-press/nbc-wsj-poll-country-remains-divided-over-trump-s-impeachment-n1128326",2020-01-26,2020-01-29,"1","Warren","Democrat","+3.0","",48.0,45.0,"NBC News/Wall Street Journal","NBC News/Wall Street Journal", 29,"yes","yes","Live","no",-0.6,-0.4,"A/B°","D +0.8","74%","14%",4.0,5.0,-0.8,-0.6,-0.3,-0.4, 24,"D +1.7","D +0.8","D +1.3",2.9,0.53
