"Poll","Date","Sample","MoE","Sanders (D)","Trump (R)","Spread","id"
"FOX NewsFOX News","10/27 - 10/30","1040 RV","3.0",49,41,"Sanders +8",9169
"FOX NewsFOX News","10/6 - 10/8","1003 RV","3.0",49,40,"Sanders +9",6939
"FOX NewsFOX News","12/8 - 12/11","1000 RV","3.0",49,43,"Sanders +6",3734
"FOX NewsFOX News","3/17 - 3/20","1002 RV","3.0",44,41,"Sanders +3",6054
"FOX NewsFOX News","5/11 - 5/14","1001 RV","3.0",46,41,"Sanders +5",6655
"FOX NewsFOX News","6/9 - 6/12","1001 RV","3.0",49,40,"Sanders +9",9957
"FOX NewsFOX News","7/21 - 7/23","1004 RV","3.0",46,40,"Sanders +6",9881
"FOX NewsFOX News","8/11 - 8/13","1013 RV","3.0",48,39,"Sanders +9",6877
"FOX NewsFOX News","9/15 - 9/17","1008 RV","3.0",48,40,"Sanders +8",9055
"IBD/TIPPIBD/TIPP","1/23 - 1/30","856 RV","3.3",47,49,"Trump +2",8854
"IBD/TIPPIBD/TIPP","1/3 - 1/11","846 RV","3.3",48,47,"Sanders +1",4038
"IBD/TIPPIBD/TIPP","10/24 - 10/31","863 RV","3.5",51,44,"Sanders +7",2167
"IBD/TIPPIBD/TIPP","12/5 - 12/14","849 RV","3.5",47,48,"Trump +1",2093
"IBD/TIPPIBD/TIPP","7/25 - 8/1","856 RV","3.5",50,45,"Sanders +5",7906
"IBD/TIPPIBD/TIPP","8/22 - 8/30","848 RV","3.5",49,45,"Sanders +4",5763
"IBD/TIPPIBD/TIPP","9/26 - 10/3","863 RV","3.5",49,45,"Sanders +4",3292
"LA Times/USCLA Times","1/15 - 1/28","4869 RV","2.0",47,40,"Sanders +7",9741
"NBC News/Wall St. JrnlNBC/WSJ","1/26 - 1/29","1000 RV","3.1",49,45,"Sanders +4",7471
"NBC News/Wall St. JrnlNBC/WSJ","7/7 - 7/9","800 RV","3.5",50,43,"Sanders +7",2834
"PPP (D)PPP (D)","1/19 - 1/21","760 RV","3.6",51,41,"Sanders +10",9120
"PPP (D)PPP (D)","10/27 - 10/29","572 RV","4.1",53,38,"Sanders +15",3861
"PPP (D)PPP (D)","12/11 - 12/12","862 RV","3.3",53,40,"Sanders +13",5272
"PPP (D)PPP (D)","2/9 - 2/11","687 RV","3.7",48,44,"Sanders +4",4050
"PPP (D)PPP (D)","3/23 - 3/25","846 RV","3.4",55,39,"Sanders +16",8760
"PPP (D)PPP (D)","3/27 - 3/28","846 RV","3.4",49,41,"Sanders +8",6847
"PPP (D)PPP (D)","3/27 - 3/28","677 RV","3.8",52,41,"Sanders +11",6847
"PPP (D)PPP (D)","4/17 - 4/18","648 RV","3.9",50,41,"Sanders +9",7844
"PPP (D)PPP (D)","5/12 - 5/14","692 RV","3.7",52,39,"Sanders +13",3792
"PPP (D)PPP (D)","6/8 - 6/10","679 RV","3.8",49,40,"Sanders +9",7151
"PPP (D)PPP (D)","6/9 - 6/11","811 RV","3.4",51,41,"Sanders +10",4382
"PPP (D)PPP (D)","7/14 - 7/17","836 RV","3.4",52,39,"Sanders +13",6103
"PPP (D)PPP (D)","8/18 - 8/21","887 RV","3.3",51,38,"Sanders +13",1540
"PPP (D)PPP (D)","9/22 - 9/25","865 RV","3.3",51,40,"Sanders +11",1281
"QuinnipiacQuinnipiac","10/4 - 10/7","1483 RV","3.1",49,42,"Sanders +7",5032
"QuinnipiacQuinnipiac","12/4 - 12/9","1553 RV","2.5",51,43,"Sanders +8",7620
"QuinnipiacQuinnipiac","2/5 - 2/9","1519 RV","2.5",51,43,"Sanders +8",4127
"QuinnipiacQuinnipiac","6/6 - 6/10","1214 RV","3.5",51,42,"Sanders +9",7256
"QuinnipiacQuinnipiac","8/21 - 8/26","1422 RV","4.6",53,39,"Sanders +14",7684
"Rasmussen ReportsRasmussen","3/31 - 4/11","5000 LV","1.5",44,47,"Trump +3",1752
"Rasmussen ReportsRasmussen","7/21 - 8/1","5000 LV","1.5",46,45,"Sanders +1",9589
"RCP Average","1/15 - 2/9","--","--",49.3,45,"Sanders +4.3",3037
"SurveyUSASUSA","10/15 - 10/16","3080 RV","2.1",50,42,"Sanders +8",8228
"SurveyUSASUSA","11/20 - 11/21","3850 RV","1.7",52,40,"Sanders +12",1100
"SurveyUSASUSA","8/1 - 8/5","5459 RV","1.6",50,42,"Sanders +8",6553
"SurveyUSASUSA","9/13 - 9/16","4520 RV","1.6",48,43,"Sanders +5",8170
"USA Today/SuffolkUSA Today","12/10 - 12/14","1000 RV","3.0",39,44,"Trump +5",3963
