"Poll","Date","Sample","MoE","Biden (D)","Trump (R)","Spread","id"
"IBD/TIPPIBD/TIPP","1/3 - 1/11","846 RV","3.3",48,46,"Biden +2",7793
"IBD/TIPPIBD/TIPP","10/24 - 10/31","863 RV","3.5",53,43,"Biden +10",7636
"IBD/TIPPIBD/TIPP","12/5 - 12/14","849 RV","3.5",50,45,"Biden +5",1372
"IBD/TIPPIBD/TIPP","7/25 - 8/1","856 RV","3.5",54,41,"Biden +13",2540
"IBD/TIPPIBD/TIPP","8/22 - 8/30","848 RV","3.5",54,42,"Biden +12",9388
"IBD/TIPPIBD/TIPP","9/26 - 10/3","863 RV","3.5",51,44,"Biden +7",6606
"LA Times/USCLA Times","1/15 - 1/28","4869 RV","2.0",49,40,"Biden +9",3191
"NBC News/Wall St. JrnlNBC/WSJ","1/26 - 1/29","1000 RV","3.1",50,44,"Biden +6",3599
"NBC News/Wall St. JrnlNBC/WSJ","10/27 - 10/30","720 RV","3.7",50,41,"Biden +9",6158
"NBC News/Wall St. JrnlNBC/WSJ","2/14 - 2/17","900 RV","3.3",52,44,"Biden +8",4399
"NBC News/Wall St. JrnlNBC/WSJ","7/7 - 7/9","800 RV","3.5",51,42,"Biden +9",3865
"NPR/PBS/MaristNPR/PBS","2/13 - 2/16","1164 RV","3.7",50,44,"Biden +6",7943
"Politico/Morning ConsultPolitico","4/19 - 4/21","1992 RV","2.0",42,34,"Biden +8",8358
"PPP (D)PPP (D)","1/19 - 1/21","760 RV","3.6",53,41,"Biden +12",2350
"PPP (D)PPP (D)","10/27 - 10/29","572 RV","4.1",56,38,"Biden +18",1705
"PPP (D)PPP (D)","12/11 - 12/12","862 RV","3.3",54,40,"Biden +14",7564
"PPP (D)PPP (D)","2/9 - 2/11","687 RV","3.7",51,42,"Biden +9",2061
"PPP (D)PPP (D)","3/23 - 3/25","846 RV","3.4",56,39,"Biden +17",1914
"PPP (D)PPP (D)","3/27 - 3/28","846 RV","3.4",53,40,"Biden +13",5486
"PPP (D)PPP (D)","3/27 - 3/28","677 RV","3.8",54,40,"Biden +14",5486
"PPP (D)PPP (D)","4/17 - 4/18","648 RV","3.9",54,40,"Biden +14",3066
"PPP (D)PPP (D)","5/12 - 5/14","692 RV","3.7",54,40,"Biden +14",4162
"PPP (D)PPP (D)","6/8 - 6/10","679 RV","3.8",53,39,"Biden +14",4765
"PPP (D)PPP (D)","6/9 - 6/11","811 RV","3.4",54,41,"Biden +13",8809
"PPP (D)PPP (D)","7/14 - 7/17","836 RV","3.4",54,39,"Biden +15",4905
"PPP (D)PPP (D)","8/18 - 8/21","887 RV","3.3",51,39,"Biden +12",9521
"PPP (D)PPP (D)","9/22 - 9/25","865 RV","3.3",53,40,"Biden +13",1106
"QuinnipiacQuinnipiac","10/4 - 10/7","1483 RV","3.1",51,40,"Biden +11",9625
"QuinnipiacQuinnipiac","12/4 - 12/9","1553 RV","2.5",51,42,"Biden +9",6957
"QuinnipiacQuinnipiac","2/5 - 2/9","1519 RV","2.5",50,43,"Biden +7",9196
"QuinnipiacQuinnipiac","6/6 - 6/10","1214 RV","3.5",53,40,"Biden +13",6910
"QuinnipiacQuinnipiac","8/21 - 8/26","1422 RV","4.6",54,38,"Biden +16",4133
"Rasmussen ReportsRasmussen","3/17 - 3/21","5000 LV","1.5",49,44,"Biden +5",5772
"Rasmussen ReportsRasmussen","6/23 - 7/2","4500 LV","1.5",48,44,"Biden +4",5505
"Rasmussen ReportsRasmussen","9/23 - 9/24","1000 LV","3.0",43,47,"Trump +4",1458
"RCP Average","2/5 - 2/18","--","--",50.4,45.6,"Biden +4.8",7062
"SurveyUSASUSA","10/15 - 10/16","3080 RV","2.1",52,41,"Biden +11",2391
"SurveyUSASUSA","11/20 - 11/21","3850 RV","1.7",52,39,"Biden +13",2527
"SurveyUSASUSA","8/1 - 8/5","5459 RV","1.6",50,42,"Biden +8",1723
"SurveyUSASUSA","9/13 - 9/16","4520 RV","1.6",49,41,"Biden +8",8522
"The Hill/HarrisXThe Hill","4/25 - 4/26","1000 RV","3.1",43,37,"Biden +6",6050
"USA Today/SuffolkUSA Today","12/10 - 12/14","1000 RV","3.0",41,44,"Trump +3",2565
