"Poll","Date","Sample","MoE","Biden (D)","Trump (R)","Spread","id"
"PPP (D)","5/12 - 5/14","692 RV","3.7",54,40,"Biden +14",2962
"PPP (D)","6/8 - 6/10","679 RV","3.8",53,39,"Biden +14",1860
"PPP (D)","6/9 - 6/11","811 RV","3.4",54,41,"Biden +13",4376
"PPP (D)","7/14 - 7/17","836 RV","3.4",54,39,"Biden +15",8694
"PPP (D)","8/18 - 8/21","887 RV","3.3",51,39,"Biden +12",9023
"PPP (D)","9/22 - 9/25","865 RV","3.3",53,40,"Biden +13",9079
"Quinnipiac","10/4 - 10/7","1483 RV","3.1",51,40,"Biden +11",4787
"Quinnipiac","12/4 - 12/9","1553 RV","2.5",51,42,"Biden +9",4652
"Quinnipiac","2/5 - 2/9","1519 RV","2.5",50,43,"Biden +7",1358
"Quinnipiac","6/6 - 6/10","1214 RV","3.5",53,40,"Biden +13",9859
"Quinnipiac","8/21 - 8/26","1422 RV","4.6",54,38,"Biden +16",4485
"Rasmussen Reports","3/17 - 3/21","5000 LV","1.5",49,44,"Biden +5",3655
"Rasmussen Reports","6/23 - 7/2","4500 LV","1.5",48,44,"Biden +4",6111
"Rasmussen Reports","9/23 - 9/24","1000 LV","3.0",43,47,"Trump +4",8547
"RCP Average","2/5 - 2/18","--","--",50.4,45.6,"Biden +4.8",5599
"SurveyUSA","10/15 - 10/16","3080 RV","2.1",52,41,"Biden +11",5573
"SurveyUSA","11/20 - 11/21","3850 RV","1.7",52,39,"Biden +13",9533
"SurveyUSA","8/1 - 8/5","5459 RV","1.6",50,42,"Biden +8",4401
"SurveyUSA","9/13 - 9/16","4520 RV","1.6",49,41,"Biden +8",9380
"The Hill/HarrisX","4/25 - 4/26","1000 RV","3.1",43,37,"Biden +6",3162
"USA Today/Suffolk","12/10 - 12/14","1000 RV","3.0",41,44,"Trump +3",7677
