"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Trump","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"6","CNN/Opinion Research Corp.","CNN","126057","poll","1/16 - 1/19","","1051 RV","3.6","",Sanders,Democrat,+7.0,,2020-01-22 08:29:20,"https://cdn.cnn.com/cnn/2020/images/01/22/rel1b.-.2020.pdf",2020-01-16,2020-01-19,"1","Sanders","Democrat","+7.0","",52.0,45.0, 37, 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"41","IBD/TIPP","IBD/TIPP","125928","poll","1/3 - 1/11","","846 RV","3.3","",Sanders,Democrat,+1.0,,2020-01-13 22:30:58,"https://www.investors.com/politics/trump-impeachment-support-dips-americans-back-trump-on-iran-economy/",2020-01-03,2020-01-11,"1","Sanders","Democrat","+1.0","",48.0,47.0,144, 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"24","Emerson College","Emerson","125581","poll","12/15 - 12/17","","1222 RV","2.7","",Sanders,Democrat,+4.0,,2019-12-17 23:30:25,"https://emersonpolling.reportablenews.com/pr/december-national-poll-biden-and-sanders-pull-away-from-the-pack-as-warren-falls",2019-12-15,2019-12-17,"1","Sanders","Democrat","+4.0","",52.0,48.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"7","CNN/Opinion Research Corp.","CNN","125659","poll","12/12 - 12/15","","888 RV","4.0","",Sanders,Democrat,+4.0,,2019-12-23 13:28:30,"https://cdn.cnn.com/cnn/2019/images/12/20/rel14c.-.economy,.general.election.pdf",2019-12-12,2019-12-15,"1","Sanders","Democrat","+4.0","",49.0,45.0, 37, 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"45","IBD/TIPP","IBD/TIPP","125544","poll","12/5 - 12/14","","849 RV","3.5","",Trump,Republican,+1.0,,2019-12-16 14:20:25,"https://www.investors.com/news/joe-biden-leads-democrats-president-trump-tops-elizabeth-warren-bernie-sanders-ibd-tipp-poll/",2019-12-05,2019-12-14,"1","Trump","Republican","+1.0","",47.0,48.0,144, 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"76","Suffolk University","USA Today/Suffolk","125562","poll","12/10 - 12/14","","1000 RV","3.0","",Trump,Republican,+5.0,,2019-12-16 20:04:17,"https://www.usatoday.com/story/news/politics/elections/2019/12/16/trump-impeachment-2020-election-leads-democratic-rivals/2663659001/",2019-12-10,2019-12-14,"1","Trump","Republican","+5.0","",39.0,44.0,323, 79,"no","yes","Live","no",-0.8,-0.4,"A-","D +0.5","80%","24%",4.9,6.5,-1.5,-0.8,-0.6,-0.4, 49,"D +0.8","D +0.5","D +1.8",5.8,0.00
"27","Fox News/Beacon Research/Shaw & Co. Research","FOX News","125520","poll","12/8 - 12/11","","1000 RV","3.0","",Sanders,Democrat,+6.0,,2019-12-15 10:44:05,"https://www.foxnews.com/politics/fox-news-poll-results-december-8-11-2019",2019-12-08,2019-12-11,"1","Sanders","Democrat","+6.0","",49.0,43.0,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"68","Quinnipiac University","Quinnipiac","125348","poll","12/4 - 12/9","","1553 RV","2.5","",Sanders,Democrat,+8.0,,2019-12-10 15:25:31,"https://poll.qu.edu/national/release-detail?ReleaseID=3651",2019-12-04,2019-12-09,"1","Sanders","Democrat","+8.0","",51.0,43.0,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"80","SurveyUSA","SurveyUSA","125257","poll","11/20 - 11/21","","3850 RV","1.7","",Sanders,Democrat,+12.0,,2019-11-27 16:52:03,"http://www.surveyusa.com/client/PollReport.aspx?g=5128ee79-1b59-4146-bf80-54906bb24d4b",2019-11-20,2019-11-21,"1","Sanders","Democrat","+12.0","",52.0,40.0,325,790,"yes","partial","IVR/Online/Live","no",-1.1,-0.8,"A","D +0.1","90%","19%",4.6,5.9,-1.1,-1.1,-1.0,-0.8,628,"D +0.1","D +0.1","R +0.3",5.0,0.12
"16","Emerson College","Emerson","125137","poll","11/17 - 11/20","","1092 RV","2.9","",Sanders,Democrat,+1.0,,2019-11-21 12:34:43,"https://emersonpolling.reportablenews.com/pr/november-national-poll-support-for-impeachment-declines-biden-and-sanders-lead-democratic-primary",2019-11-17,2019-11-20,"1","Sanders","Democrat","+1.0","",50.0,49.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"38","IBD/TIPP","IBD/TIPP","124769","poll","10/24 - 10/31","","863 RV","3.5","",Sanders,Democrat,+7.0,,2019-11-04 14:26:17,"https://www.investors.com/news/joe-biden-leads-elizabeth-warren-both-beat-trump-2020-election-ibd-tipp/",2019-10-24,2019-10-31,"1","Sanders","Democrat","+7.0","",51.0,44.0,144, 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"1","ABC News/Washington Post","ABC News/Wash Post","124781","poll","10/27 - 10/30","","876 RV","4.0","",Sanders,Democrat,+14.0,,2019-11-05 08:32:16,"https://www.washingtonpost.com/politics/trump-trails-democratic-rivals-in-national-survey-as-independents-move-away/2019/11/04/e068afac-ff38-11e9-9518-1e76abc088b6_story.html",2019-10-27,2019-10-30,"1","Sanders","Democrat","+14.0","",55.0,41.0,  3, 63,"yes","yes","Live","no",-1.5,-1.3,"A+","D +0.6","79%","5%",2.8,4.6,-1.7,-1.5,-1.1,-1.3, 58,"D +0.9","D +0.6","D +1.5",3.8,0.02
"33","Fox News/Beacon Research/Shaw & Co. Research","FOX News","124708","poll","10/27 - 10/30","","1040 RV","3.0","",Sanders,Democrat,+8.0,,2019-11-03 09:36:16,"https://www.foxnews.com/politics/fox-news-poll-biden-leads-nomination-race-tops-trump-by-12-points-in-matchup",2019-10-27,2019-10-30,"1","Sanders","Democrat","+8.0","",49.0,41.0,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"47","Morning Consult","Politico/Morning Consult","124617","poll","10/25 - 10/28","","1997 RV","2.0","",Sanders,Democrat,+2.0,,2019-10-30 09:04:25,"https://morningconsult.com/wp-content/uploads/2019/10/191058_crosstabs_POLITICO_RVs_v2_JB.pdf",2019-10-25,2019-10-28,"1","Sanders","Democrat","+2.0","",39.0,37.0,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"19","Emerson College","Emerson","124405","poll","10/18 - 10/21","","1000 RV","3.0","",Sanders,Democrat,+2.0,,2019-10-22 12:30:32,"https://emersonpolling.reportablenews.com/pr/october-national-poll-biden-sanders-warren-maintain-front-runner-status-in-democratic-primary",2019-10-18,2019-10-21,"1","Sanders","Democrat","+2.0","",51.0,49.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"11","CNN/Opinion Research Corp.","CNN","124436","poll","10/17 - 10/20","","892 RV","4.0","",Sanders,Democrat,+9.0,,2019-10-23 08:34:44,"https://cdn.cnn.com/cnn/2019/images/10/22/rel12b.-.2020.pdf",2019-10-17,2019-10-20,"1","Sanders","Democrat","+9.0","",52.0,43.0, 37, 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"78","SurveyUSA","SurveyUSA","124538","poll","10/15 - 10/16","","3080 RV","2.1","",Sanders,Democrat,+8.0,,2019-10-26 00:37:50,"http://www.surveyusa.com/client/PollReport.aspx?g=be45282e-0f2b-4aea-9431-c8dd46a3082f",2019-10-15,2019-10-16,"1","Sanders","Democrat","+8.0","",50.0,42.0,325,790,"yes","partial","IVR/Online/Live","no",-1.1,-0.8,"A","D +0.1","90%","19%",4.6,5.9,-1.1,-1.1,-1.0,-0.8,628,"D +0.1","D +0.1","R +0.3",5.0,0.12
"36","Fox News/Beacon Research/Shaw & Co. Research","FOX News","124244","poll","10/6 - 10/8","","1003 RV","3.0","",Sanders,Democrat,+9.0,,2019-10-10 18:02:15,"https://www.scribd.com/document/429686638/Fox-News-Poll-October-6-8-2019",2019-10-06,2019-10-08,"1","Sanders","Democrat","+9.0","",49.0,40.0,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"72","Quinnipiac University","Quinnipiac","124058","poll","10/4 - 10/7","","1483 RV","3.1","",Sanders,Democrat,+7.0,,2019-10-08 15:23:39,"https://poll.qu.edu/national/release-detail?ReleaseID=3643",2019-10-04,2019-10-07,"1","Sanders","Democrat","+7.0","",49.0,42.0,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"42","IBD/TIPP","IBD/TIPP","124020","poll","9/26 - 10/3","","863 RV","3.5","",Sanders,Democrat,+4.0,,2019-10-07 08:42:36,"https://www.investors.com/politics/americans-back-trump-impeachment-ukraine-scandal-biden-probe/",2019-09-26,2019-10-03,"1","Sanders","Democrat","+4.0","",49.0,45.0,144, 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"18","Emerson College","Emerson","123752","poll","9/21 - 9/23","","1019 RV","3.0","",Trump,Republican,+2.0,,2019-09-24 12:45:13,"https://emersonpolling.reportablenews.com/pr/september-national-poll-warren-surges-biden-slips-and-sanders-holds-creating-three-way-dead-heat-for-the-nomination",2019-09-21,2019-09-23,"1","Trump","Republican","+2.0","",49.0,51.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"31","Fox News/Beacon Research/Shaw & Co. Research","FOX News","123708","poll","9/15 - 9/17","","1008 RV","3.0","",Sanders,Democrat,+8.0,,2019-09-18 18:17:14,"https://www.foxnews.com/politics/fox-news-poll-september-15-17-2019",2019-09-15,2019-09-17,"1","Sanders","Democrat","+8.0","",48.0,40.0,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"77","SurveyUSA","SurveyUSA","123716","poll","9/13 - 9/16","","4520 RV","1.6","",Sanders,Democrat,+5.0,,2019-09-19 08:54:55,"http://www.surveyusa.com/client/PollReport.aspx?g=6189a2c3-4801-46e4-898a-f512d9ed5d17",2019-09-13,2019-09-16,"1","Sanders","Democrat","+5.0","",48.0,43.0,325,790,"yes","partial","IVR/Online/Live","no",-1.1,-0.8,"A","D +0.1","90%","19%",4.6,5.9,-1.1,-1.1,-1.0,-0.8,628,"D +0.1","D +0.1","R +0.3",5.0,0.12
"4","ABC News/Washington Post","ABC News/Wash Post","123556","poll","9/2 - 9/5","","877 RV","4.0","",Sanders,Democrat,+9.0,,2019-09-11 08:16:11,"https://www.washingtonpost.com/context/sept-2-5-2019-washington-post-abc-news-poll/d4e18b36-79bf-492d-91e3-d1c7a49d37e2/",2019-09-02,2019-09-05,"1","Sanders","Democrat","+9.0","",52.0,43.0,  3, 63,"yes","yes","Live","no",-1.5,-1.3,"A+","D +0.6","79%","5%",2.8,4.6,-1.7,-1.5,-1.1,-1.3, 58,"D +0.9","D +0.6","D +1.5",3.8,0.02
"44","IBD/TIPP","IBD/TIPP","123438","poll","8/22 - 8/30","","848 RV","3.5","",Sanders,Democrat,+4.0,,2019-09-03 14:40:04,"https://www.investors.com/news/elizabeth-warren-joe-biden-sanders-democratic-race-biden-vs-trump/",2019-08-22,2019-08-30,"1","Sanders","Democrat","+4.0","",49.0,45.0,144, 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"17","Emerson College","Emerson","123366","poll","8/24 - 8/26","","1458 RV","2.5","",Sanders,Democrat,+4.0,,2019-08-27 12:17:28,"https://emersonpolling.reportablenews.com/pr/august-national-poll-sanders-closing-gap-with-biden-mayor-pete-fades",2019-08-24,2019-08-26,"1","Sanders","Democrat","+4.0","",52.0,48.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"73","Quinnipiac University","Quinnipiac","123384","poll","8/21 - 8/26","","1422 RV","4.6","",Sanders,Democrat,+14.0,,2019-08-28 08:18:27,"https://poll.qu.edu/national/release-detail?ReleaseID=3638",2019-08-21,2019-08-26,"1","Sanders","Democrat","+14.0","",53.0,39.0,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
