"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Biden","Sanders","Warren","Bloomberg","Buttigieg","Klobuchar","Harris","O'Rourke","Yang","Gabbard","Booker","Steyer","Bennet","Patrick","Delaney","Castro","Williamson","Bullock","Sestak","Messam","Ryan","de Blasio","Gillibrand","Inslee","Hickenlooper","Moulton","Swalwell","Gravel","Brown","Holder","Clinton","McAuliffe","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"141","Morning Consult","Politico/Morning Consult","127107","poll","3/11 - 3/15","","8869 LV","","",Biden,,+21.0,#009900,2020-03-24 09:10:08,"https://morningconsult.com/2020-democratic-primary/",2020-03-11,2020-03-15,"1","Biden","","+21.0","#009900",58,37.0,NA,NA,NA,NA,NA,NA,NA, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"268",NA,"The Hill/HarrisX","127136","poll","3/14 - 3/15","","894 RV","","",Biden,,+24.0,#009900,2020-03-18 21:26:35,"https://thehill.com/hilltv/what-americas-thinking/488259-what-americas-thinking-march-18-2020",2020-03-14,2020-03-15,"1","Biden","","+24.0","#009900",55,31.0,NA,NA,NA,NA,NA,NA,NA, 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","NBC News/Wall Street Journal","NBC News/Wall St. Jrnl","127086","poll","3/11 - 3/13","","438 LV","","",Biden,,+29.0,#009900,2020-03-15 11:05:58,"https://www.documentcloud.org/documents/6810602-200149-NBCWSJ-March-Poll-Final-3-14-20-Release.html",2020-03-11,2020-03-13,"1","Biden","","+29.0","#009900",61,32.0,NA,NA,NA,NA,NA,NA,NA, 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221, 29,"yes","yes","Live","no",-0.6,-0.4,"A/B°","D +0.8","74%","14%",4.0,5.0,-0.8,-0.6,-0.3,-0.4, 24,"D +1.7","D +0.8","D +1.3",2.9,0.53
"127","Morning Consult","Politico/Morning Consult","127073","poll","3/11 - 3/11","","2072 LV","","",Biden,,+24.0,#009900,2020-03-17 09:25:52,"https://morningconsult.com/2020/03/12/bidens-national-lead-over-sanders-balloons-24-points/",2020-03-11,2020-03-11,"1","Biden","","+24.0","#009900",59,35.0,NA,NA,NA,NA,NA,NA,NA, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"218","YouGov","Economist/YouGov","127024","poll","3/8 - 3/10","","573 RV","","",Biden,,+15.0,#009900,2020-03-11 09:36:37,"https://docs.cdn.yougov.com/vrbl9mmctz/econTabReport.pdf",2020-03-08,2020-03-10,"1","Biden","","+15.0","#009900",53,38.0,NA,NA,NA,NA,NA,NA,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"86","Ipsos","Reuters/Ipsos","127021","poll","3/6 - 3/9","","420 RV","","",Biden,,+21.0,#009900,2020-03-10 11:47:37,"https://www.realclearpolitics.com/docs/2020/Ipsos_Dem_Primary_March_6-9_2020.pdf",2020-03-06,2020-03-09,"1","Biden","","+21.0","#009900",54,33.0,NA,NA,NA,NA,NA,NA,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154, 66,"yes","no","Online","no", 0.3, 0.5,"B-","D +0.2","71%","23%",4.5,4.8,-0.1, 0.3, 0.2, 0.5, 60,"D +0.3","D +0.2","D +0.8",3.5,0.16
"284",NA,"The Hill/HarrisX","127085","poll","3/8 - 3/9","","442 RV","","",Biden,,+27.0,#009900,2020-03-15 11:19:55,"https://thehill.com/hilltv/what-americas-thinking/487475-biden-consolidates-majority-support-in-new-hill-harrisx-2020",2020-03-08,2020-03-09,"1","Biden","","+27.0","#009900",55,28.0,NA,NA,NA,NA,NA,NA,NA, 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Morning Consult","Politico/Morning Consult","127090","poll","3/5 - 3/8","","9593 RV","","",Biden,,+18.0,#009900,2020-03-15 11:39:27,"https://morningconsult.com/2020-democratic-primary/",2020-03-05,2020-03-08,"1","Biden","","+18.0","#009900",56,38.0,NA,NA,NA,NA,NA,NA,NA, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"181","Quinnipiac University","Quinnipiac","126980","poll","3/5 - 3/8","","559 RV","4.2","",Biden,,+19.0,#009900,2020-03-09 15:06:49,"https://poll.qu.edu/national/release-detail?ReleaseID=3657",2020-03-05,2020-03-08,"1","Biden","","+19.0","#009900",54,35.0,NA,NA,NA,NA,NA,NA,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"18","CNN/Opinion Research Corp.","CNN","126959","poll","3/4 - 3/7","","540 RV","","",Biden,,+16.0,#009900,2020-03-09 08:21:38,"https://cdn.cnn.com/cnn/2020/images/03/09/rel2a.-.2020.pdf",2020-03-04,2020-03-07,"1","Biden","","+16.0","#009900",52,36.0, 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 37, 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"19","CNN/Opinion Research Corp.","CNN","126956","poll","3/4 - 3/7","","540 RV","5.0","",Biden,,+16.0,#009900,2020-03-09 07:02:59,"http://cdn.cnn.com/cnn/2020/images/03/09/rel2a.-.2020.pdf",2020-03-04,2020-03-07,"1","Biden","","+16.0","#009900",52,36.0, 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 37, 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"78","Ipsos","Reuters/Ipsos","126947","poll","3/4 - 3/5","","474 RV","","",Biden,,+13.0,#009900,2020-03-05 16:05:09,"https://www.realclearpolitics.com/docs/2020/Reuters_Ipsos_Dem_Tracker_March_5th_2020.pdf",2020-03-04,2020-03-05,"1","Biden","","+13.0","#009900",45,32.0,11,NA,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154, 66,"yes","no","Online","no", 0.3, 0.5,"B-","D +0.2","71%","23%",4.5,4.8,-0.1, 0.3, 0.2, 0.5, 60,"D +0.3","D +0.2","D +0.8",3.5,0.16
"125","Morning Consult","Politico/Morning Consult","126952","poll","3/5 - 3/5","","1390 LV","","",Biden,,+16.0,#009900,2020-03-15 11:43:53,"https://morningconsult.com/2020/03/06/democratic-primary-polling-joe-biden-bernie-sanders/",2020-03-05,2020-03-05,"1","Biden","","+16.0","#009900",54,38.0,NA,NA,NA,NA,NA,NA,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"120","Morning Consult","Politico/Morning Consult","126883","poll","3/2 - 3/3","","961 LV","","",Biden,,+8.0,#009900,2020-03-15 11:45:13,"https://morningconsult.com/2020/03/03/biden-reclaims-national-lead-with-buttigieg-klobuchar-exits/",2020-03-02,2020-03-03,"1","Biden","","+8.0","#009900",36,28.0,14,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"238","YouGov","Economist/YouGov","126890","poll","3/1 - 3/3","","722 RV","","",Biden,,+4.0,#009900,2020-03-04 09:44:15,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3rdraw493c/econTabReport.pdf",2020-03-01,2020-03-03,"1","Biden","","+4.0","#009900",28,24.0,19,11, 7, 4,NA,NA,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"80","Ipsos","Reuters/Ipsos","126881","poll","2/28 - 3/2","","469 RV","","",Sanders,,+11.0,#457fff,2020-03-03 09:57:27,"https://www.realclearpolitics.com/docs/2020/Ipsos_Dem_National_Feb_28_-_March_2.pdf",2020-02-28,2020-03-02,"1","Sanders","","+11.0","#457fff",18,29.0,10,15,10, 4,NA,NA,NA, 1,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154, 66,"yes","no","Online","no", 0.3, 0.5,"B-","D +0.2","71%","23%",4.5,4.8,-0.1, 0.3, 0.2, 0.5, 60,"D +0.3","D +0.2","D +0.8",3.5,0.16
"270",NA,"The Hill/HarrisX","126884","poll","3/1 - 3/2","","449 RV","","",Biden,,+5.0,#009900,2020-03-03 21:44:04,"https://youtu.be/8-xCRJ9-_pk",2020-03-01,2020-03-02,"1","Biden","","+5.0","#009900",28,23.0,11,20,NA, 3,NA,NA,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Morning Consult","Politico/Morning Consult","126863","poll","3/1 - 3/1","","2656 LV","","",Sanders,,+3.0,#457fff,2020-03-15 11:44:33,"https://morningconsult.com/2020/03/02/post-south-carolina-poll-joe-biden/",2020-03-01,2020-03-01,"1","Sanders","","+3.0","#457fff",26,29.0,11,17,10, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"70","IBD/TIPP","IBD/TIPP","126856","poll","2/20 - 2/29","","325 RV","","",Sanders,,+3.0,#457fff,2020-03-02 09:59:49,"https://www.investors.com/politics/bernie-sanders-leads-joe-biden-super-tuesday-march-2020-ibd-tipp-poll/",2020-02-20,2020-02-29,"1","Sanders","","+3.0","#457fff",20,23.0,17,13, 7, 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144, 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"52","Harris Insights & Analytics","Harvard-Harris","127051","poll","2/26 - 2/28","","980 RV","","",Sanders,,+5.0,#457fff,2020-03-11 11:05:01,"https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/6677acd8-4be1-4a78-92e1-dbbd51036f1d/HHP_Feb20.pdf",2020-02-26,2020-02-28,"1","Sanders","","+5.0","#457fff",20,25.0,NA,NA,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,169,"yes","no","Online","no", 0.8, 0.9,"C+","R +1.3","83%","49%",5.1,3.5, 1.8, 0.8, 0.6, 0.9,169,"R +1.5","R +1.3","D +0.7",4.0,0.00
"106","Morning Consult","Politico/Morning Consult","126800","poll","2/26 - 2/27","","5334 LV","","",Sanders,,+12.0,#457fff,2020-03-15 12:28:21,"https://morningconsult.com/2020/02/28/post-south-carolina-debate-polling-joe-biden/",2020-02-26,2020-02-27,"1","Sanders","","+12.0","#457fff",21,33.0,11,17,10, 4,NA,NA,NA, 2,NA, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"264",NA,"Yahoo News/YouGov*","126797","poll","2/26 - 2/27","","811 RV","","",Sanders,,+6.0,#457fff,2020-03-30 17:10:10,"https://news.yahoo.com/new-yahoo-news-you-gov-poll-biden-holds-edge-over-sanders-in-battlegrounds-171601673.html",2020-02-26,2020-02-27,"1","Sanders","","+6.0","#457fff",21,27.0,18,14,10, 4,NA,NA,NA, 1,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Fox News/Beacon Research/Shaw & Co. Research","FOX News","126769","poll","2/23 - 2/26","","507 LV","","",Sanders,,+13.0,#457fff,2020-02-27 18:32:24,"https://www.foxnews.com/politics/fox-news-poll-february-23-26-2020",2020-02-23,2020-02-26,"1","Sanders","","+13.0","#457fff",18,31.0,10,16,12, 5,NA,NA,NA, 1,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"81","Ipsos","Reuters/Ipsos","126801","poll","2/19 - 2/25","","1808 RV","","",Sanders,,+12.0,#457fff,2020-02-28 18:02:03,"https://www.realclearpolitics.com/docs/2020/Ipsos_Democratic_Primary_Tracker_Feb_19-25,_2020.pdf",2020-02-19,2020-02-25,"1","Sanders","","+12.0","#457fff",17,29.0,12,16,11, 4,NA,NA,NA, 1,NA, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154, 66,"yes","no","Online","no", 0.3, 0.5,"B-","D +0.2","71%","23%",4.5,4.8,-0.1, 0.3, 0.2, 0.5, 60,"D +0.3","D +0.2","D +0.8",3.5,0.16
"247","YouGov","Economist/YouGov","126735","poll","2/23 - 2/25","","584 RV","","",Sanders,,+10.0,#457fff,2020-02-26 10:01:45,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zye3phsf7t/econTabReport.pdf",2020-02-23,2020-02-25,"1","Sanders","","+10.0","#457fff",20,30.0,16,11, 9, 4,NA,NA,NA, 4,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"279",NA,"The Hill/HarrisX","126715","poll","2/23 - 2/24","","470 RV","","",Sanders,,+9.0,#457fff,2020-02-25 13:47:24,"https://www.youtube.com/watch?v=PgHRg9QDfcQ",2020-02-23,2020-02-24,"1","Sanders","","+9.0","#457fff",17,28.0, 8,19,12, 3,NA,NA,NA, 2,NA, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
