"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Biden","Sanders","Steyer","Buttigieg","Warren","Klobuchar","Gabbard","Harris","Booker","O'Rourke","Yang","Castro","Patrick","Bloomberg","Williamson","Delaney","Bennet","Ryan","Bullock","de Blasio","Hickenlooper","Inslee","Gillibrand","Moulton","Gravel","Messam","Swalwell","Abrams","Brown","Sestak","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"33",NA,"NBC News/Marist","126697","poll","2/18 - 2/21","","539 LV","6.0","",Biden,,+4.0,#009900,2020-02-24 17:13:11,"http://maristpoll.marist.edu/wp-content/uploads/2020/02/NBC-News_Marist-Poll_SC-NOS-and-Tables_2002241049.pdf",2020-02-18,2020-02-21,"1","Biden","","+4.0","#009900",27.0,23.0,15.0, 9.0, 8,5.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,"Winthrop","126643","poll","2/9 - 2/19","","443 LV","","",Biden,,+5.0,#009900,2020-02-20 17:17:48,"https://www.winthrop.edu/winthroppoll/current-findings.aspx",2020-02-09,2020-02-19,"1","Biden","","+5.0","#009900",24.0,19.0,15.0, 7.0, 6,5.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,"UMass Lowell","126578","poll","2/12 - 2/18","","400 LV","","",Biden,,+2.0,#009900,2020-02-19 15:03:56,"https://www.uml.edu/docs/2020-SC-Primary-topline_tcm18-322374.pdf",2020-02-12,2020-02-18,"1","Biden","","+2.0","#009900",23.0,21.0,13.0,11.0,11,9.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,"Change Research (D)","126573","poll","2/12 - 2/14","","1015 LV","","",Tie,,,,2020-02-19 09:28:34,"https://thehill.com/homenews/campaign/483577-biden-sanders-tied-for-first-place-in-south-carolina-poll#.Xk03Bx_F-_A.twitter",2020-02-12,2020-02-14,"1","Tie","","","",23.0,23.0,20.0,15.0, 9,8.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,"East Carolina U.","126518","poll","2/12 - 2/13","","703 LV","4.3","",Biden,,+8.0,#009900,2020-02-14 15:08:53,"https://surveyresearch-ecu.reportablenews.com/pr/south-carolina-democratic-primary-biden-s-lead-shrinks-sanders-closing-in-steyer-in-third",2020-02-12,2020-02-13,"1","Biden","","+8.0","#009900",28.0,20.0,14.0, 8.0, 7,7.0,1.0,NA,NA,NA,NA,NA,NA, 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"East Carolina U.","126390","poll","1/31 - 2/2","","469 LV","5.3","",Biden,,+18.0,#009900,2020-02-06 19:12:31,"https://surveyresearch-ecu.reportablenews.com/pr/south-carolina-poll-biden-leads-presidential-primary-among-likely-democratic-voters-but-many-open-to-changing-their-mind-before-election-day-trump-and-graham-lead-comfortably-in-general-election-matchups",2020-01-31,2020-02-02,"1","Biden","","+18.0","#009900",37.0,14.0,19.0, 4.0, 8,2.0,2.0,NA,NA,NA, 3,NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,"Post and Courier","126299","poll","1/26 - 1/29","","651 LV","","",Biden,,+5.0,#009900,2020-02-02 10:25:03,"https://www.postandcourier.com/politics/sanders-and-steyer-closing-gap-on-biden-as-sc-presidential/article_b27fd0ca-43c6-11ea-9805-6b054517633c.html",2020-01-26,2020-01-29,"1","Biden","","+5.0","#009900",25.0,20.0,18.0, 7.0,11,2.0,3.0,NA,NA,NA, 3,NA, 0,NA,NA, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Fox News/Beacon Research/Shaw & Co. Research","FOX News","125886","poll","1/5 - 1/8","","808 RV","3.5","",Biden,,+21.0,#009900,2020-01-09 18:56:44,"https://www.foxnews.com/politics/fox-news-poll-biden-ahead-by-21-points-among-south-carolina-democrats",2020-01-05,2020-01-08,"1","Biden","","+21.0","#009900",36.0,14.0,15.0, 4.0,10,1.0,1.0,NA, 2,NA, 2,NA, 0, 2, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"35",NA,"Post and Courier","125469","poll","12/6 - 12/11","","392 LV","4.9","",Biden,,+7.0,#009900,2019-12-12 17:03:36,"https://www.postandcourier.com/politics/biden-s-sc-firewall-in-danger-front-runner-s-lead/article_517d465e-1c89-11ea-bce4-3b0ae19c6231.html",2019-12-06,2019-12-11,"1","Biden","","+7.0","#009900",27.0,20.0, 5.0, 9.0,19,2.0,4.0,NA, 5,NA, 2, 0, 1, 3, 1, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Quinnipiac University","Quinnipiac","124977","poll","11/13 - 11/17","","768 LV","4.8","",Biden,,+20.0,#009900,2019-11-18 15:07:13,"https://poll.qu.edu/south-carolina/release-detail?ReleaseID=3649",2019-11-13,2019-11-17,"1","Biden","","+20.0","#009900",33.0,11.0, 5.0, 6.0,13,1.0,1.0, 3, 2,NA, 4, 0,NA,NA, 1, 0, 0,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"16",NA,"CBS News/YouGov","124973","poll","11/6 - 11/13","","933 LV","","",Biden,,+28.0,#009900,2019-11-17 11:38:23,"https://drive.google.com/file/d/18LZNu8nrKO8zvVKbrdkagjcbZaYN_uW5/view",2019-11-06,2019-11-13,"1","Biden","","+28.0","#009900",45.0,15.0, 2.0, 8.0,17,1.0,1.0, 5, 2,NA, 0, 0,NA,NA, 0, 1, 0,NA, 1,NA,NA,NA,NA,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Monmouth University","Monmouth","124471","poll","10/16 - 10/21","","402 RV","","",Biden,,+17.0,#009900,2020-02-02 10:54:00,"https://www.monmouth.edu/polling-institute/reports/monmouthpoll_SC_102319/",2019-10-16,2019-10-21,"1","Biden","","+17.0","#009900",33.0,12.0, 4.0, 3.0,16,2.0,1.0, 6, 2, 1, 2, 1,NA,NA, 0, 1, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,100,"yes","yes","Live","no",-1.9,-1.5,"A+","D +1.3","80%","21%",5.2,6.5,-1.1,-1.9,-1.6,-1.5, 70,"D +1.8","D +1.3","R +0.5",5.1,0.20
"26",NA,"Post and Courier","124534","poll","10/15 - 10/21","","731 LV","3.6","",Biden,,+11.0,#009900,2019-10-24 23:13:29,"https://www.postandcourier.com/politics/warren-cutting-into-biden-s-lead-in-new-sc-democratic/article_3738ef56-f69f-11e9-97d4-9ff73bd65e23.html",2019-10-15,2019-10-21,"1","Biden","","+11.0","#009900",30.0,13.0, 5.0, 9.0,19,3.0,3.0,11, 3, 1, 4, 0,NA,NA, 0, 0, 1, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"CBS News/YouGov","124251","poll","10/3 - 10/11","","915 LV","","",Biden,,+25.0,#009900,2019-10-13 11:57:59,"https://drive.google.com/file/d/0B6m3FrMzNqO5b1lVMU5PYWRGV0I0b3pjbEF6WjZaS2xnXzF3/view",2019-10-03,2019-10-11,"1","Biden","","+25.0","#009900",43.0,16.0, 2.0, 4.0,18,1.0,0.0, 7, 3, 1, 1, 0,NA,NA, 1, 0, 1, 1, 0,NA,NA,NA,NA,NA,NA, 0,NA,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,"Gravis","124276","poll","10/3 - 10/7","","516 LV","","",Biden,,+24.0,#009900,2019-10-15 11:50:36,"http://orlando-politics.com/2019/10/15/gravis-marketing-south-carolina-poll-2020-primary/",2019-10-03,2019-10-07,"1","Biden","","+24.0","#009900",34.0,10.0, 7.0, 0.0, 9,2.0,1.0, 4, 6, 2, 2, 1,NA,NA, 1, 1, 0, 0, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Fox News/Beacon Research/Shaw & Co. Research","FOX News","123982","poll","9/29 - 10/2","","803 LV","","",Biden,,+29.0,#009900,2019-10-06 10:50:14,"https://www.foxnews.com/politics/fox-news-poll-results-september-29-october-2-2019-south-carolina",2019-09-29,2019-10-02,"1","Biden","","+29.0","#009900",41.0,10.0, 4.0, 2.0,12,0.0,1.0, 4, 3, 0, 1, 0,NA,NA, 1, 0, 1, 1, 0,NA,NA,NA,NA,NA,NA, 0,NA,NA,NA, 0,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"37",NA,"Winthrop","123908","poll","9/21 - 9/30","","462 RV","4.6","",Biden,,+20.0,#009900,2019-10-01 16:01:36,"https://www.winthrop.edu/winthroppoll/current-findings.aspx",2019-09-21,2019-09-30,"1","Biden","","+20.0","#009900",37.0, 8.0, 2.0, 4.0,17,1.0,1.0, 7, 3, 2, 2, 1,NA,NA, 0, 0, 0, 0, 0,NA,NA,NA,NA,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","CNN/Opinion Research Corp.","CNN","123851","poll","9/22 - 9/26","","406 LV","","",Biden,,+21.0,#009900,2019-09-29 09:17:28,"http://cdn.cnn.com/cnn/2019/images/09/28/rel1_nv.pdf",2019-09-22,2019-09-26,"1","Biden","","+21.0","#009900",37.0,11.0, 3.0, 4.0,16,1.0,1.0, 3, 2, 2, 0, 0,NA,NA, 1, 0, 1, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 37, 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"17",NA,"CBS News/YouGov","123509","poll","8/28 - 9/4","","785 LV","","",Biden,,+25.0,#009900,2020-02-02 10:55:01,"https://drive.google.com/file/d/1jqA3l_nC6bMk3_0rLpv4bj81pwJ3n4Aw/view",2019-08-28,2019-09-04,"1","Biden","","+25.0","#009900",43.0,18.0, 1.0, 4.0,14,1.0,1.0, 7, 2, 1, 1, 0,NA,NA, 0, 1, 0, 1, 1, 1,NA,NA,NA,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,"Post and Courier","123244","poll","8/9 - 8/12","","521 LV","","",Biden,,+19.0,#009900,2019-08-20 11:20:49,"https://www.postandcourier.com/politics/biden-keeps-large-lead-in-sc-s-democratic-presidential-primary/article_d5064164-be11-11e9-8de3-03c1577ccfa6.html",2019-08-09,2019-08-12,"1","Biden","","+19.0","#009900",36.0,16.0, 1.0, 5.0,17,1.0,2.0,12, 4, 1, 1, 1,NA,NA, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0,NA, 0,NA,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Monmouth University","Monmouth","122941","poll","7/18 - 7/22","","405 LV","4.9","",Biden,,+27.0,#009900,2019-07-25 12:29:57,"https://www.monmouth.edu/polling-institute/reports/monmouthpoll_SC_072519/",2019-07-18,2019-07-22,"1","Biden","","+27.0","#009900",39.0,10.0, 2.0, 5.0, 9,1.0,0.0,12, 2, 1, 0, 0,NA,NA, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,NA,NA,NA, 0,215,100,"yes","yes","Live","no",-1.9,-1.5,"A+","D +1.3","80%","21%",5.2,6.5,-1.1,-1.9,-1.6,-1.5, 70,"D +1.8","D +1.3","R +0.5",5.1,0.20
"14",NA,"CBS News/YouGov","122836","poll","7/9 - 7/18","","997 LV","","",Biden,,+22.0,#009900,2019-07-21 13:41:12,"https://drive.google.com/file/d/0ByVu4fDHYJgVSHlRQWtlanA5MFFNdldVQnR6T2VPWlhFRmdr/view",2019-07-09,2019-07-18,"1","Biden","","+22.0","#009900",39.0,17.0, 1.0, 5.0,12,1.0,0.0,12, 3, 2, 1, 0,NA,NA, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0,NA,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Fox News/Beacon Research/Shaw & Co. Research","FOX News","122744","poll","7/7 - 7/10","","701 RV","3.5","",Biden,,+21.0,#009900,2019-07-11 18:24:05,"https://www.foxnews.com/politics/fox-news-poll-biden-holds-commanding-lead-among-south-carolina-democrats",2019-07-07,2019-07-10,"1","Biden","","+21.0","#009900",35.0,14.0,NA, 2.0, 5,0.0,0.0,12, 3, 0, 1, 0,NA,NA, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0,NA,NA,NA,NA,NA,NA,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"27",NA,"Post and Courier","122345","poll","6/11 - 6/14","","933 LV","","",Biden,,+20.0,#009900,2019-06-16 11:16:12,"https://www.postandcourier.com/politics/warren-buttigieg-surge-in-sc-democratic-presidential-poll-as-biden/article_0a351cee-8f77-11e9-a29c-9fe60d10303b.html",2019-06-11,2019-06-14,"1","Biden","","+20.0","#009900",37.0, 9.0,NA,11.0,17,1.0,1.0, 9, 5, 4, 3, 0,NA,NA, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"CBS News/YouGov","122346","poll","5/31 - 6/12","","644 LV","","",Biden,,+27.0,#009900,2019-06-16 11:10:43,"https://drive.google.com/file/d/0ByVu4fDHYJgVSm5SVnVXZHBkOVpPQXpXX0pPWF9YSHhVb1g0/view",2019-05-31,2019-06-12,"1","Biden","","+27.0","#009900",45.0,18.0,NA, 6.0, 8,1.0,0.0, 7, 4, 4, 1, 0,NA,NA, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"Post and Courier","121865","poll","5/6 - 5/9","","595 LV","","",Biden,,+31.0,#009900,2019-05-13 09:41:39,"https://www.postandcourier.com/politics/the-safe-choice-biden-widens-sc-lead-in-democratic-presidential/article_f727895c-731f-11e9-888a-af4280777b2a.html",2019-05-06,2019-05-09,"1","Biden","","+31.0","#009900",46.0,15.0,NA, 8.0, 8,1.0,0.0,10, 4, 2, 2, 0,NA,NA, 1, 0, 0, 0,NA,NA, 0, 0, 0,NA,NA,NA, 0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Emerson College","Emerson","120981","poll","2/28 - 3/2","","291 RV","5.7","",Biden,,+16.0,#009900,2019-03-15 17:20:57,"https://emersonpolling.reportablenews.com/pr/south-carolina-2020-poll-biden-leads-primary-field-by-wide-margin-president-trump-popular-with-base",2019-02-28,2019-03-02,"1","Biden","","+16.0","#009900",37.0,21.0,NA, 0.0, 5,1.0,2.0, 9, 6, 5,NA, 0,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA, 3,NA,NA,NA,NA,NA, 1,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
