"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Biden","Buttigieg","Warren","Klobuchar","Yang","Steyer","Gabbard","Bloomberg","Harris","O'Rourke","Booker","Bennet","Williamson","Delaney","Castro","Patrick","Bullock","Sestak","Messam","Ryan","de Blasio","Gillibrand","Inslee","Hickenlooper","Moulton","McAuliffe","Brown","Swalwell","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"21",NA,"CBS News/YouGov","126182","poll","1/16 - 1/23","","1356 LV","","",Sanders,,+1.0,#457fff,2020-01-26 11:17:27,"https://drive.google.com/file/d/1TZ_phVL1vfC0P9b_RDH9ymdLRnk0lrrJ/view",2020-01-16,2020-01-23,"1","Sanders","","+1.0","#457fff",26,25.0,22.0,15.0, 7,1.0, 1,0.0,NA,NA,NA,NA,0.0,NA, 1,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,"FRA/David Binder (D)","126029","poll","1/15 - 1/18","","500 LV","4.4","",Biden,,+6.0,#009900,2020-01-20 11:05:48,"https://www.focusonruralamerica.com/2020/01/20/january-poll-results/",2020-01-15,2020-01-18,"1","Biden","","+6.0","#009900",14,24.0,16.0,18.0,11,3.0, 4,1.0, 1,NA,NA,NA,1.0,NA, 0,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Monmouth University","Monmouth","125915","poll","1/9 - 1/12","","405 LV","4.9","",Biden,,+6.0,#009900,2020-01-13 12:20:01,"https://www.monmouth.edu/polling-institute/reports/monmouthpoll_IA_011320/",2020-01-09,2020-01-12,"1","Biden","","+6.0","#009900",18,24.0,17.0,15.0, 8,3.0, 4,2.0,NA,NA,NA, 4,0.0,NA, 0,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,100,"yes","yes","Live","no",-1.9,-1.5,"A+","D +1.3","80%","21%",5.2,6.5,-1.1,-1.9,-1.6,-1.5, 70,"D +1.8","D +1.3","R +0.5",5.1,0.20
"28",NA,"DM Register/CNN","125909","poll","1/2 - 1/8","","701 LV","3.7","",Sanders,,+3.0,#457fff,2020-01-10 18:37:55,"https://cdn.cnn.com/cnn/2020/images/01/10/rel1_ia.-.democrats.pdf",2020-01-02,2020-01-08,"1","Sanders","","+3.0","#457fff",20,15.0,16.0,17.0, 6,5.0, 2,2.0, 1,NA,NA, 3,0.0, 0, 0,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,"CBS News/YouGov","125785","poll","12/27 - 1/3","","953 LV","","",Tie,,,,2020-01-05 11:28:29,"https://drive.google.com/file/d/1YoVEJY6TBhHvfrmNoApfpvOHNtNM6t6O/view",2019-12-27,2020-01-03,"1","Tie","","","",23,23.0,23.0,16.0, 7,2.0, 2,1.0,NA,NA,NA, 2,0.0, 0, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,"Iowa St./Civiqs","125646","poll","12/12 - 12/16","","632 LV","4.9","",Buttigieg,,+3.0,#990099,2020-02-02 12:58:34,"https://civiqs.com/documents/Civiqs_ISU_banner_book_2019_12.pdf",2019-12-12,2019-12-16,"1","Buttigieg","","+3.0","#990099",21,15.0,24.0,18.0, 4,3.0, 2,3.0, 0,NA,NA, 3,0.0, 0, 0, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Emerson College","Emerson","125363","poll","12/7 - 12/10","","325 RV","5.4","",Biden,,+1.0,#009900,2019-12-10 21:28:00,"https://emersonpolling.reportablenews.com/pr/iowa-2020-warren-s-support-drops-while-sanders-rises",2019-12-07,2019-12-10,"1","Biden","","+1.0","#009900",22,23.0,18.0,12.0,10,2.0, 3,2.0, 2,NA,NA, 4,0.0, 0, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"35",NA,"Iowa St./Civiqs","125127","poll","11/15 - 11/19","","614 LV","4.9","",Buttigieg,,+7.0,#990099,2020-02-02 12:58:57,"https://civiqs.com/documents/Civiqs_ISU_banner_book_2019_11.pdf",2019-11-15,2019-11-19,"1","Buttigieg","","+7.0","#990099",18,12.0,26.0,19.0, 5,4.0, 2,2.0, 1, 2,NA, 1,1.0, 1, 0, 1,NA, 1, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"CBS News/YouGov","124970","poll","11/6 - 11/13","","856 LV","","",Tie,,,,2019-11-17 11:18:47,"https://drive.google.com/file/d/13afQpotpd1MwwjjjoegtFv-tRtQ6tQbO/view",2019-11-06,2019-11-13,"1","Tie","","","",22,22.0,21.0,18.0, 5,1.0, 2,0.0,NA, 5,NA, 1,0.0, 0, 0, 1,NA, 1, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,"DM Register/CNN","124969","poll","11/8 - 11/13","","500 LV","","",Buttigieg,,+9.0,#990099,2019-11-16 21:31:15,"https://cdn.cnn.com/cnn/2019/images/11/16/rel4a_ia.pdf",2019-11-08,2019-11-13,"1","Buttigieg","","+9.0","#990099",15,15.0,25.0,16.0, 6,3.0, 3,3.0, 2, 3,NA, 3,1.0, 0, 0, 0,NA, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Monmouth University","Monmouth","124880","poll","11/7 - 11/11","","961 RV","4.6","",Buttigieg,,+3.0,#990099,2019-11-12 12:18:12,"https://www.monmouth.edu/polling-institute/reports/monmouthpoll_IA_111219/",2019-11-07,2019-11-11,"1","Buttigieg","","+3.0","#990099",13,19.0,22.0,18.0, 5,3.0, 3,2.0, 0, 3,NA, 2,0.0, 0, 0, 1,NA, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,100,"yes","yes","Live","no",-1.9,-1.5,"A+","D +1.3","80%","21%",5.2,6.5,-1.1,-1.9,-1.6,-1.5, 70,"D +1.8","D +1.3","R +0.5",5.1,0.20
"12","Quinnipiac University","Quinnipiac","124855","poll","10/30 - 11/5","","698 RV","4.5","",Warren,,+1.0,#996600,2019-11-06 15:08:44,"https://poll.qu.edu/iowa/release-detail?ReleaseID=3647",2019-10-30,2019-11-05,"1","Warren","","+1.0","#996600",17,15.0,19.0,20.0, 5,3.0, 3,3.0,NA, 4,NA, 1,1.0, 0, 0, 1,NA, 1, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"14","Siena College/New York Times Upshot","NY Times/Siena","124677","poll","10/25 - 10/30","","439 LV","4.7","",Warren,,+3.0,#996600,2019-11-01 07:58:34,"https://www.nytimes.com/2019/11/01/us/politics/iowa-poll-warren-biden.html",2019-10-25,2019-10-30,"1","Warren","","+3.0","#996600",19,17.0,18.0,22.0, 4,3.0, 2,2.0,NA, 3,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448, 57,"yes","yes","Live","no",-1.3,-1.0,"A+","R +0.3","69%","11%",3.9,5.7,-1.7,-1.3,-1.0,-1.0, 57,"R +0.4","R +0.3","D +0.4",4.2,0.21
"38",NA,"Iowa St./Civiqs","124530","poll","10/18 - 10/22","","598 LV","","",Warren,,+8.0,#996600,2020-02-02 12:59:55,"https://civiqs.com/documents/Civiqs_ISU_banner_book_2019_10.pdf",2019-10-18,2019-10-22,"1","Warren","","+8.0","#996600",18,12.0,20.0,28.0, 4,2.0, 3,2.0,NA, 3, 1, 1,1.0, 0, 0, 0,NA, 0,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Suffolk University","USA Today/Suffolk","124373","poll","10/16 - 10/18","","500 LV","4.4","",Biden,,+1.0,#009900,2019-10-20 23:35:05,"https://www.realclearpolitics.com/docs/2019/Suffolk_USAT_Iowa_October_2019.pdf",2019-10-16,2019-10-18,"1","Biden","","+1.0","#009900", 9,18.0,13.0,17.0, 3,1.0, 3,3.0,NA, 3, 1, 1,0.0, 0, 0, 0,NA, 0, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,323, 79,"no","yes","Live","no",-0.8,-0.4,"A-","D +0.5","80%","24%",4.9,6.5,-1.5,-0.8,-0.6,-0.4, 49,"D +0.8","D +0.5","D +1.8",5.8,0.00
"1","Emerson College","Emerson","124365","poll","10/13 - 10/16","","888 RV","3.2","",Tie,,,,2019-10-17 12:07:35,"https://emersonpolling.reportablenews.com/pr/iowa-2020-dead-heat-with-biden-and-warren-mayor-pete-continues-to-build-and-sanders-slides",2019-10-13,2019-10-16,"1","Tie","","","",13,23.0,16.0,23.0, 1,5.0, 2,2.0,NA, 2, 0, 3,1.0, 1, 0, 0,NA, 4, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"24",NA,"CBS News/YouGov","124249","poll","10/3 - 10/11","","729 LV","","",Tie,,,,2019-10-13 11:48:00,"https://drive.google.com/file/d/0B6m3FrMzNqO5OUczeGdZaTdDWlRxYUVIZ3pJd3NNN1NiQWxr/view",2019-10-03,2019-10-11,"1","Tie","","","",21,22.0,14.0,22.0, 2,0.0, 3,1.0,NA, 5, 2, 2,1.0, 1, 0, 0,NA, 0, 0, 0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,"Univ. of Iowa","125018","poll","10/28 - 10/10","","465 LV","","",Warren,,+5.0,#996600,2019-11-20 08:51:26,"https://clas.uiowa.edu/polisci/sites/clas.uiowa.edu.polisci/files/Hawkeye%20Poll%20(Nov%202019)%20-%20Iowa%20Democratic%20Caucuses%20-%20topline.pdf",2019-10-28,2019-10-10,"1","Warren","","+5.0","#996600",18,15.0,16.0,23.0, 1,3.0, 3,3.0,NA, 2, 0, 0,0.0,NA, 0, 1,NA, 0,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,"DM Register/CNN","123738","poll","9/14 - 9/18","","602 LV","","",Warren,,+2.0,#996600,2019-09-21 22:40:03,"https://www.cnn.com/2019/09/21/politics/iowa-poll-2020-democrats/index.html",2019-09-14,2019-09-18,"1","Warren","","+2.0","#996600",11,20.0, 9.0,22.0, 3,2.0, 2,2.0,NA, 6, 2, 3,0.0, 0, 1, 1,NA, 1, 0,NA, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,"Iowa St./Civiqs","123731","poll","9/13 - 9/17","","572 LV","5.2","",Warren,,+8.0,#996600,2020-02-02 13:00:51,"https://civiqs.com/documents/Civiqs_ISU_banner_book_2019_09_release.pdf",2019-09-13,2019-09-17,"1","Warren","","+8.0","#996600",16,16.0,13.0,24.0, 3,3.0, 2,4.0,NA, 5, 2, 2,0.0, 1, 0, 0,NA, 0,NA,NA, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,"FRA/David Binder (D)","123732","poll","9/14 - 9/17","","500 LV","4.4","",Biden,,+2.0,#009900,2019-09-21 11:38:07,"http://www.focusonruralamerica.com/wp-content/uploads/2019/09/190914-Iowa-Voter-Survey-memo.pdf",2019-09-14,2019-09-17,"1","Biden","","+2.0","#009900", 9,25.0,12.0,23.0, 8,2.0, 3,1.0,NA, 5, 1, 2,0.0, 0, 1, 1,NA, 1, 0, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,"CBS News/YouGov","123510","poll","8/28 - 9/4",""," LV","","",Biden,,+3.0,#009900,2019-09-08 10:28:17,"https://drive.google.com/file/d/1COIH-m2a-0WUpiTfhf-_GddIsopndHkT/preview",2019-08-28,2019-09-04,"1","Biden","","+3.0","#009900",26,29.0, 7.0,17.0, 2,1.0, 2,1.0,NA, 6, 2, 2,0.0, 0, 1, 1,NA, 0, 0, 0, 0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Monmouth University","Monmouth","123157","poll","8/1 - 8/4","","401 LV","4.9","",Biden,,+9.0,#009900,2019-08-08 10:49:46,"https://www.monmouth.edu/polling-institute/reports/monmouthpoll_IA_080819/",2019-08-01,2019-08-04,"1","Biden","","+9.0","#009900", 9,28.0, 8.0,19.0, 3,2.0, 3,1.0,NA,11, 0, 1,0.0, 0, 1, 0,NA, 1, 0, 0, 0, 0, 2, 0, 1, 0,NA,NA,NA,215,100,"yes","yes","Live","no",-1.9,-1.5,"A+","D +1.3","80%","21%",5.2,6.5,-1.1,-1.9,-1.6,-1.5, 70,"D +1.8","D +1.3","R +0.5",5.1,0.20
"20",NA,"CBS News/YouGov","122834","poll","7/9 - 7/18","","706 LV","","",Biden,,+5.0,#009900,2019-07-21 13:32:38,"https://drive.google.com/file/d/0ByVu4fDHYJgVSHlRQWtlanA5MFFNdldVQnR6T2VPWlhFRmdr/view",2019-07-09,2019-07-18,"1","Biden","","+5.0","#009900",19,24.0, 7.0,17.0, 4,0.0, 2,0.0,NA,16, 1, 3,0.0,NA, 1, 2,NA, 0, 1, 0, 0, 0, 1, 0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Suffolk University","USA Today/Suffolk","122570","poll","6/28 - 7/1","","500 LV","4.4","",Biden,,+8.0,#009900,2019-07-02 10:47:51,"https://www.usatoday.com/story/news/politics/2019/07/02/iowa-kamala-harris-surges-and-joe-biden-bernie-sanders-suffer/1626346001/",2019-06-28,2019-07-01,"1","Biden","","+8.0","#009900", 9,24.0, 6.0,13.0, 2,1.0,NA,1.0,NA,16, 1, 2,1.0, 0, 1, 1,NA, 0,NA, 0, 0, 0, 0, 0, 0, 0,NA,NA, 0,323, 79,"no","yes","Live","no",-0.8,-0.4,"A-","D +0.5","80%","24%",4.9,6.5,-1.5,-0.8,-0.6,-0.4, 49,"D +0.8","D +0.5","D +1.8",5.8,0.00
"40",NA,"FRA/David Binder (D)","123733","poll","6/29 - 7/1","","600 LV","","",Warren,,+2.0,#996600,2019-09-21 12:09:45,"https://www.realclearpolitics.com/docs/2019/DBR_Iowa_July_2019.pdf",2019-06-29,2019-07-01,"1","Warren","","+2.0","#996600",12,17.0,10.0,20.0, 4,1.0,NA,1.0,NA,18, 1, 2,1.0, 1, 1, 1,NA, 1,NA, 0, 0, 1, 1, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,"CBS News/YouGov","122348","poll","5/31 - 6/12","","587 LV","","",Biden,,+8.0,#009900,2019-06-16 11:28:05,"https://drive.google.com/file/d/0ByVu4fDHYJgVSm5SVnVXZHBkOVpPQXpXX0pPWF9YSHhVb1g0/view",2019-05-31,2019-06-12,"1","Biden","","+8.0","#009900",22,30.0,11.0,12.0, 4,0.0,NA,1.0,NA, 5, 4, 3,0.0, 0, 2, 0,NA, 1,NA, 0, 1, 0, 1, 1, 0, 0,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,"DM Register/CNN","122244","poll","6/2 - 6/5","","600 LV","4.0","",Biden,,+8.0,#009900,2019-06-08 20:49:56,"http://cdn.cnn.com/cnn/2019/images/06/07/top2_ia_saturday.pdf",2019-06-02,2019-06-05,"1","Biden","","+8.0","#009900",16,24.0,14.0,15.0, 2,1.0,NA,1.0,NA, 7, 2, 1,1.0, 0, 1, 1,NA, 0,NA, 0, 0, 0, 0, 1, 0, 0,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,"Gravis","121600","poll","4/17 - 4/18","","590 RV","","",Tie,,,,2019-04-22 11:21:36,"http://orlando-politics.com/wp-content/uploads/2019/04/Iowa-April-18-2019-v2.pdf",2019-04-17,2019-04-18,"1","Tie","","","",19,19.0,14.0, 6.0, 4,1.0,NA,1.0,NA, 6, 5, 4,NA,NA, 2, 0,NA,NA,NA,NA,NA,NA, 1, 0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Monmouth University","Monmouth","121511","poll","4/4 - 4/9","","351 LV","5.2","",Biden,,+11.0,#009900,2019-04-11 11:50:32,"https://www.monmouth.edu/polling-institute/reports/monmouthpoll_IA_041119/",2019-04-04,2019-04-09,"1","Biden","","+11.0","#009900",16,27.0, 9.0, 7.0, 4,1.0,NA,0.0,NA, 7, 6, 3,0.0, 0, 1, 2,NA, 0,NA, 0, 1, 0, 1, 0, 0, 0, 0,NA, 1,215,100,"yes","yes","Live","no",-1.9,-1.5,"A+","D +1.3","80%","21%",5.2,6.5,-1.1,-1.9,-1.6,-1.5, 70,"D +1.8","D +1.3","R +0.5",5.1,0.20
