"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Biden","Sanders","Bloomberg","Warren","Klobuchar","Buttigieg","Gabbard","Harris","Booker","Yang","Castro","Steyer","Bennet","Bullock","Williamson","Messam","Sestak","Delaney","O'Rourke","Ryan","de Blasio","Gillibrand","Inslee","Hickenlooper","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"21",NA,"UMass Lowell","126646","poll","2/12 - 2/18","","450 LV","","",Sanders,,+4.0,#457fff,2020-02-20 17:36:56,"https://www.uml.edu/docs/2020-NC-topline_tcm18-322447.pdf",2020-02-12,2020-02-18,"1","Sanders","","+4.0","#457fff",16.0,23.0,19.0,13.0,7.0,10.0, 3,NA,NA,NA,NA, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"WRAL-TV/SurveyUSA","126540","poll","2/13 - 2/16","","698 LV","","",Tie,,,,2020-02-18 16:40:58,"https://www.wral.com/wral-news-poll-3-tied-atop-democratic-presidential-field-in-nc/18959248/",2020-02-13,2020-02-16,"1","Tie","","","",20.0,22.0,22.0, 8.0,5.0,11.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,"High Point","126488","poll","1/31 - 2/6","","225 LV","","",Biden,,+4.0,#009900,2020-02-12 12:07:42,"http://www.highpoint.edu/src/files/2020/02/69memoA.pdf",2020-01-31,2020-02-06,"1","Biden","","+4.0","#009900",24.0,20.0,16.0,11.0,3.0, 8.0, 2,NA, 0, 3, 0, 4,NA,NA,NA,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Public Policy Polling","PPP (D)","126382","poll","2/4 - 2/5","","604 LV","","",Biden,,+9.0,#009900,2020-02-06 10:05:36,"https://www.publicpolicypolling.com/wp-content/uploads/2020/02/NCDemPollFebruary2020.pdf",2020-02-04,2020-02-05,"1","Biden","","+9.0","#009900",25.0,16.0,14.0,12.0,5.0, 9.0,NA,NA,NA, 5,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"5","Public Policy Polling","PPP (D)","125943","poll","1/10 - 1/12","","509 LV","","",Biden,,+13.0,#009900,2020-01-14 15:45:58,"https://www.publicpolicypolling.com/wp-content/uploads/2020/01/NCDemResultsJanuary2020.pdf",2020-01-10,2020-01-12,"1","Biden","","+13.0","#009900",31.0,18.0, 8.0,15.0,3.0, 6.0,NA,NA, 1, 5,NA, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"2","Fox News/Beacon Research/Shaw & Co. Research","FOX News","124963","poll","11/10 - 11/13","","669 LV","","",Biden,,+22.0,#009900,2019-11-14 23:16:26,"https://www.foxnews.com/politics/fox-news-poll-close-races-between-trump-and-democrats-in-north-carolina",2019-11-10,2019-11-13,"1","Biden","","+22.0","#009900",37.0,14.0,NA,15.0,1.0, 6.0, 2, 4, 2, 2, 0, 2, 1, 1, 0, 0, 0, 0,NA,NA,NA,NA,NA,NA,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"16",NA,"High Point","124962","poll","11/1 - 11/7","","347 A","","",Biden,,+15.0,#009900,2019-11-14 23:02:49,"http://www.highpoint.edu/blog/2019/11/hpu-poll-among-democratic-candidates-biden-sanders-warren-have-largest-support-in-north-carolina/",2019-11-01,2019-11-07,"1","Biden","","+15.0","#009900",33.0,18.0,NA,13.0,3.0, 4.0, 1, 5, 2, 2,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Siena College/New York Times Upshot","NY Times/Siena","124867","poll","10/13 - 10/26","","292 LV","","",Biden,,+14.0,#009900,2019-11-08 08:59:34,"https://www.nytimes.com/2019/11/08/us/politics/democrats-poll-moderates-battleground.html",2019-10-13,2019-10-26,"1","Biden","","+14.0","#009900",29.0,13.0,NA,15.0,0.0, 1.0, 1, 1, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA, 2,NA,NA,NA,NA,NA,448, 57,"yes","yes","Live","no",-1.3,-1.0,"A+","R +0.3","69%","11%",3.9,5.7,-1.7,-1.3,-1.0,-1.0, 57,"R +0.4","R +0.3","D +0.4",4.2,0.21
"15",NA,"East Carolina U.","124344","poll","10/2 - 10/9","","291 LV","","",Biden,,+10.0,#009900,2019-10-16 11:24:46,"https://surveyresearch.ecu.edu/wp-content/pv-uploads/sites/1566/2018/06/ECU_Poll_Report_Impeachment_Election_October_2019.pdf",2019-10-02,2019-10-09,"1","Biden","","+10.0","#009900",29.0,19.0,NA,17.0,3.0, 4.0, 0, 8, 1, 9, 1,NA,NA,NA,NA,NA,NA,NA, 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Public Policy Polling","PPP (D)","124227","poll","10/4 - 10/6","","410 LV","","",Biden,,+17.0,#009900,2019-10-10 13:15:22,"https://www.publicpolicypolling.com/wp-content/uploads/2019/10/PPP_Release_NC_100919.pdf",2019-10-04,2019-10-06,"1","Biden","","+17.0","#009900",39.0, 6.0,NA,22.0,NA, 9.0,NA, 3, 2, 3, 1,NA,NA,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,NA,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"17",NA,"High Point","123896","poll","9/13 - 9/19","","348 RV","","",Biden,,+11.0,#009900,2019-09-30 13:33:08,"http://www.highpoint.edu/src/files/2019/09/66memoC.pdf",2019-09-13,2019-09-19,"1","Biden","","+11.0","#009900",31.0,20.0,NA,15.0,1.0, 3.0,NA, 6, 4, 4, 1,NA,NA,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"Civitas/SurveyUSA","123141","poll","8/1 - 8/5","","534 LV","","",Biden,,+21.0,#009900,2019-08-08 08:47:11,"http://www.surveyusa.com/client/PollReport.aspx?g=29ae3168-9e12-474f-a207-f9a662509d55&amp;c=154&amp;utm_source=Contacts&amp;utm_campaign=add46ccca5-EMAIL_CAMPAIGN_2018_02_09_COPY_03&amp;utm_medium=email&amp;utm_term=0_7a6c958a22-add46ccca5-429150105&amp;mc_cid=add46ccca5&amp;mc_eid=30a8aa38d9",2019-08-01,2019-08-05,"1","Biden","","+21.0","#009900",36.0,15.0,NA,13.0,0.0, 5.0, 1, 8, 1, 1, 1,NA,NA,NA,NA,NA,NA,NA, 0, 0, 0, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Emerson College","Emerson","122155","poll","5/31 - 6/3","","397 4.9","","",Biden,,+17.0,#009900,2019-06-04 13:47:35,"https://emersonpolling.reportablenews.com/pr/north-carolina-2020-biden-with-early-lead-on-trump-and-democratic-primary-field",2019-05-31,2019-06-03,"1","Biden","","+17.0","#009900",39.0,22.0,NA,15.0,1.0, 8.0, 0, 5, 1, 1,NA,NA,NA,NA,NA,NA,NA,NA, 3, 1, 1, 1, 0, 0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
