"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Biden","Warren","Bloomberg","Buttigieg","Klobuchar","Steyer","Gabbard","Harris","O'Rourke","Yang","Booker","Bennet","Castro","Williamson","Delaney","Bullock","Sestak","Patrick","Ryan","Inslee","Blasio","Gillibrand","Messam","Hickenlooper","Gravel","McAuliffe","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"5","Monmouth University","Monmouth","126635","poll","2/16 - 2/19","","408 LV","4.9","",Sanders,,+7.0,#457fff,2020-02-20 13:18:40,"https://www.monmouth.edu/polling-institute/reports/monmouthpoll_ca_022020/",2020-02-16,2020-02-19,"1","Sanders","","+7.0","#457fff",24,17,10,13, 9,4, 5,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,100,"yes","yes","Live","no",-1.9,-1.5,"A+","D +1.3","80%","21%",5.2,6.5,-1.1,-1.9,-1.6,-1.5, 70,"D +1.8","D +1.3","R +0.5",5.1,0.20
"26",NA,"PPIC","126560","poll","2/7 - 2/17","","573 LV","","",Sanders,,+18.0,#457fff,2020-02-18 22:23:49,"https://www.ppic.org/wp-content/uploads/crosstabs-time-trends-methodology-0220.pdf",2020-02-07,2020-02-17,"1","Sanders","","+18.0","#457fff",32,14,13,12,12,5, 3,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"KGTV-TV/SurveyUSA","126561","poll","2/13 - 2/16","","520 LV","","",Sanders,,+4.0,#457fff,2020-02-18 22:22:27,"http://www.surveyusa.com/client/PollReport.aspx?g=00eb4f81-c6dd-4c7c-a22e-c32a3b4f2c7e",2020-02-13,2020-02-16,"1","Sanders","","+4.0","#457fff",25,15, 9,21,12,6, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,"USC/YouGov","126644","poll","2/1 - 2/15","","803 LV","","",Sanders,,+8.0,#457fff,2020-02-21 23:35:39,"https://priceschool.usc.edu/wp-content/uploads/2020/02/USC-Price-USC-Schwarzenegger-CA-Issues-Poll_Full.pdf",2020-02-01,2020-02-15,"1","Sanders","","+8.0","#457fff",29,21,20, 8, 6,3, 2,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,"KQED/NPR","126263","poll","1/25 - 1/27","","1967 LV","","",Sanders,,+14.0,#457fff,2020-01-30 08:12:46,"https://www.kqed.org/news/11798764/bernie-sanders-pulls-away-from-pack-in-california",2020-01-25,2020-01-27,"1","Sanders","","+14.0","#457fff",30,15,16, 4, 8,3, 2,4.0,NA,NA, 5,NA, 0,NA,NA, 0,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"Berkeley IGS","126194","poll","1/15 - 1/21","","2895 LV","","",Sanders,,+6.0,#457fff,2020-01-28 08:06:39,"https://www.latimes.com/politics/story/2020-01-28/bernie-sanders-grabs-lead-in-california-presidential-primary",2020-01-15,2020-01-21,"1","Sanders","","+6.0","#457fff",26,15,20, 6, 7,5, 2,NA,NA,NA, 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,"KGTV-TV/SurveyUSA","126021","poll","1/14 - 1/16","","565 LV","5.1","",Biden,,+10.0,#009900,2020-01-17 23:16:05,"http://www.surveyusa.com/client/PollReport.aspx?g=9634c475-cb54-4a34-ab4b-c0d9a2b82759",2020-01-14,2020-01-16,"1","Biden","","+10.0","#009900",20,30,20, 6, 8,2, 4,2.0,NA,NA, 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,"PPIC","125936","poll","1/3 - 1/12","","530 LV","6.5","",Sanders,,+3.0,#457fff,2020-01-14 15:43:07,"https://www.mercurynews.com/2020/01/13/california-presidential-primary-poll/",2020-01-03,2020-01-12,"1","Sanders","","+3.0","#457fff",27,24,23, 1, 6,4,NA,NA,NA,NA, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"KQED/NPR","125558","poll","12/6 - 12/10","","862 LV","","",Sanders,,+3.0,#457fff,2019-12-16 17:06:09,"https://www.kqed.org/news/11790984/with-kamala-harris-out-poll-finds-presidential-race-wide-open-in-california",2019-12-06,2019-12-10,"1","Sanders","","+3.0","#457fff",26,19,23, 3,12,1, 2,3.0,NA,NA, 4, 3, 0, 3, 1, 0,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","CNN/Opinion Research Corp.","CNN","125452","poll","12/4 - 12/8","","508 LV","","",Biden,,+1.0,#009900,2019-12-12 09:20:07,"https://cdn.cnn.com/cnn/2019/images/12/11/rel1_ca.pdf",2019-12-04,2019-12-08,"1","Biden","","+1.0","#009900",20,21,17, 5, 9,2, 1,2.0,NA,NA, 6, 3, 0, 1, 0, 0,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA, 37, 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"11",NA,"Berkeley IGS","125314","poll","11/21 - 11/27","","1694 LV","","",Sanders,,+2.0,#457fff,2019-12-05 15:37:24,"https://www.latimes.com/politics/story/2019-12-05/democrats-2020-race-california-poll",2019-11-21,2019-11-27,"1","Sanders","","+2.0","#457fff",24,14,22, 2,12,3, 1,1.0, 7,NA, 3, 1, 1, 1, 0, 0, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,"KGTV-TV/SurveyUSA","125220","poll","11/20 - 11/22","","558 LV","4.8","",Biden,,+10.0,#009900,2019-11-27 08:56:17,"",2019-11-20,2019-11-22,"1","Biden","","+10.0","#009900",18,28,13, 3, 8,1, 3,2.0,10,NA, 5, 3,NA, 1,NA,NA,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,"PPIC","125011","poll","11/3 - 11/12","","682 LV","","",Biden,,+1.0,#009900,2019-11-19 11:28:22,"https://www.ppic.org/wp-content/uploads/ppic-statewide-survey-californians-and-their-government-november-2019.pdf",2019-11-03,2019-11-12,"1","Biden","","+1.0","#009900",17,24,23,NA, 7,1, 1,NA, 8,NA, 5, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"KQED/NPR","124531","poll","10/15 - 10/18","","1631 LV","2.4","",Warren,,+4.0,#996600,2019-10-24 08:46:35,"https://www.kqed.org/news/11781964/harris-loses-ground-in-california-to-front-runners-warren-and-sanders",2019-10-15,2019-10-18,"1","Warren","","+4.0","#996600",24,19,28,NA, 9,2, 1,2.0, 8, 1, 3, 1, 0, 0, 1, 0, 0, 0,NA, 0,NA,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"KGTV-TV/SurveyUSA","124396","poll","10/15 - 10/16","","553 LV","6.9","",Biden,,+15.0,#009900,2019-10-22 13:04:19,"http://www.surveyusa.com/client/PollReport.aspx?g=3662de7c-9fe8-4524-b39b-789835905d98",2019-10-15,2019-10-16,"1","Biden","","+15.0","#009900",17,33,18,NA, 4,1, 1,1.0, 8, 2, 4, 2,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,"PPIC","123954","poll","9/16 - 9/25","","692 LV","","",Warren,,+1.0,#996600,2019-10-03 12:44:18,"https://www.ppic.org/wp-content/uploads/ppic-statewide-survey-californians-and-their-government-september-2019.pdf",2019-09-16,2019-09-25,"1","Warren","","+1.0","#996600",21,22,23,NA, 6,1, 1,NA, 8, 1, 3, 2,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,"LA Times/Berkeley","123763","poll","9/13 - 9/18","","2272 LV","","",Warren,,+9.0,#996600,2019-09-25 13:34:52,"https://escholarship.org/uc/item/1m40b114",2019-09-13,2019-09-18,"1","Warren","","+9.0","#996600",19,20,29,NA, 6,2, 0,1.0, 8, 3, 2, 1, 1, 1, 0, 0, 0, 0,NA, 0,NA, 0,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Emerson College","Emerson","123658","poll","9/13 - 9/16","","424 LV","","",Tie,,,,2019-09-25 13:05:04,"https://emersonpolling.reportablenews.com/pr/california-2020-biden-sanders-warren-in-statistical-tie-in-democratic-primary-harris-struggles-in-home-state",2019-09-13,2019-09-16,"1","Tie","","","",26,26,20,NA, 4,0, 1,2.0, 6, 5, 7, 1, 0, 1, 0, 0, 0, 0,NA, 0,NA, 0,NA, 0,NA,NA,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"24",NA,"KGTV-TV/SurveyUSA","123713","poll","9/13 - 9/15","","547 LV","4.8","",Biden,,+9.0,#009900,2019-09-18 22:26:22,"http://www.surveyusa.com/client/PollReport.aspx?g=58e0ba48-d312-4f29-9007-67c41aa7d9a5",2019-09-13,2019-09-15,"1","Biden","","+9.0","#009900",18,27,16,NA, 3,1,NA,NA,13, 2, 7, 2,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,"KQED/NPR","124532","poll","9/12 - 9/15","","3325 LV","2.4","",Warren,,+2.0,#996600,2019-10-24 08:52:21,"https://www.kqed.org/news/11774909/kamala-harris-slips-in-a-new-california-poll-warren-sanders-biden-on-top",2019-09-12,2019-09-15,"1","Warren","","+2.0","#996600",23,18,25,NA,10,1, 0,2.0,11, 2, 3, 2, 0, 1, 1, 0, 0, 0,NA, 0,NA, 0,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"KGTV-TV/SurveyUSA","123140","poll","8/1 - 8/5","","528 LV","","",Biden,,+4.0,#009900,2019-08-08 08:37:27,"http://www.surveyusa.com/client/PollReport.aspx?g=949b0f46-a4a4-4480-b675-711e9d6fd657",2019-08-01,2019-08-05,"1","Biden","","+4.0","#009900",18,25,21,NA, 6,0, 0,1.0,17, 0, 1, 1,NA, 0, 0, 0, 0, 0,NA, 0, 0, 0, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,"CBS News/YouGov","122837","poll","7/9 - 7/18","","1514 LV","","",Biden,,+1.0,#009900,2019-07-21 13:43:32,"https://drive.google.com/file/d/0ByVu4fDHYJgVSHlRQWtlanA5MFFNdldVQnR6T2VPWlhFRmdr/view",2019-07-09,2019-07-18,"1","Biden","","+1.0","#009900",16,24,19,NA, 6,1, 1,1.0,23, 1, 1, 1,NA, 1, 1, 0, 0, 0,NA, 0, 0, 0, 0, 0, 0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Quinnipiac University","Quinnipiac","122760","poll","7/10 - 7/15","","1125 RV","3.9","",Harris,,+2.0,#f2dc0f,2019-07-17 08:33:51,"https://poll.qu.edu/california/release-detail?ReleaseID=2632",2019-07-10,2019-07-15,"1","Harris","","+2.0","#f2dc0f",18,21,16,NA, 3,0, 0,0.0,23, 1, 2, 1,NA, 1, 0, 0, 0, 0,NA, 0, 1, 0, 0, 0, 0, 0,NA,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"27",NA,"LA Times/Berkeley","122334","poll","6/4 - 6/10","","2131 LV","3.0","",Biden,,+4.0,#009900,2019-09-18 22:39:10,"https://www.latimes.com/politics/la-na-pol-2020-california-democratic-primary-poll-20190613-story.html",2019-06-04,2019-06-10,"1","Biden","","+4.0","#009900",17,22,18,NA,10,1,NA,NA,13, 3, 1, 1,NA, 1, 0, 0, 0,NA,NA, 0, 0,NA, 0,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Quinnipiac University","Quinnipiac","121452","poll","4/3 - 4/8","","482 RV","5.9","",Biden,,+8.0,#009900,2019-04-10 08:21:30,"https://poll.qu.edu/california/release-detail?ReleaseID=2615",2019-04-03,2019-04-08,"1","Biden","","+8.0","#009900",18,26, 7,NA, 7,2,NA,1.0,17, 4, 1, 2,NA, 2, 0, 0,NA,NA,NA,NA, 1,NA, 0, 0, 0,NA,NA,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
