"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Biden","Bloomberg","Warren","Buttigieg","Klobuchar","Gabbard","Steyer","O'Rourke","Harris","Castro","Yang","Booker","Patrick","Delaney","Williamson","Ryan","Gillibrand","Hickenlooper","Inslee","Swalwell","Messam","Moulton","de Blasio","Gravel","Sestak","Bennet","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"17",NA,"University of Houston","126694","poll","2/6 - 2/18","","1352 LV","","",Tie,,,,2020-02-24 10:38:05,"https://uh.edu/hobby/texasprimary2020/icons/texaspresidentialvote.pdf",2020-02-06,2020-02-18,"1","Tie","","","",20.0,20,12,17.0,11.0,7.0,3, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"UT/Texas Tribune","126508","poll","1/31 - 2/9","","575 RV","4.1","",Sanders,,+2.0,#457fff,2020-02-14 07:46:45,"https://www.texastribune.org/2020/02/14/bernie-sanders-leading-texas-ahead-super-tuesday-uttt-poll-says/",2020-01-31,2020-02-09,"1","Sanders","","+2.0","#457fff",24.0,22,10,15.0, 7.0,3.0,2,NA,NA,NA,NA, 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"Dallas Morning News","126436","poll","1/21 - 1/30","","381 LV","","",Biden,,+16.0,#009900,2020-02-11 08:56:46,"https://www.uttyler.edu/politicalscience/files/texas-survey-likely-voters-2020.pdf",2020-01-21,2020-01-30,"1","Biden","","+16.0","#009900",18.0,34,16,17.0, 4.0,3.0,1, 2,NA,NA,NA, 3,NA, 0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,"Texas Lyceum","126246","poll","1/10 - 1/19","","401 LV","","",Biden,,+2.0,#009900,2020-01-29 13:22:18,"https://www.texaslyceum.org/assets/docs/Poll/2020/2020%20Lyceum%20Day%201%20Executive%20Summary.pdf",2020-01-10,2020-01-19,"1","Biden","","+2.0","#009900",26.0,28, 9,13.0, 6.0,4.0,2, 2,NA,NA, 0, 0, 1, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","CNN/Opinion Research Corp.","CNN","125453","poll","12/4 - 12/8","","327 LV","","",Biden,,+20.0,#009900,2019-12-12 08:47:46,"https://cdn.cnn.com/cnn/2019/images/12/11/rel1_tx.pdf",2019-12-04,2019-12-08,"1","Biden","","+20.0","#009900",15.0,35, 5,13.0, 9.0,1.0,1,NA,NA,NA, 3, 3, 2, 1, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 37, 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"20",NA,"UT/Texas Tribune","124759","poll","10/18 - 10/27","","1200 LV","2.8","",Biden,,+5.0,#009900,2019-11-04 08:50:53,"https://www.texastribune.org/2019/11/04/democrats-dont-have-candidate-who-would-beat-trump-texas-today-poll/",2019-10-18,2019-10-27,"1","Biden","","+5.0","#009900",12.0,23,NA,18.0, 6.0,2.0,2, 1,14, 5, 2, 4, 1,NA, 0, 1, 1,NA,NA,NA,NA, 0,NA,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Quinnipiac University","Quinnipiac","123560","poll","9/4 - 9/9","","456 RV","5.5","",Biden,,+10.0,#009900,2020-01-29 14:15:01,"https://poll.qu.edu/texas/release-detail?ReleaseID=3640",2019-09-04,2019-09-09,"1","Biden","","+10.0","#009900",12.0,28,NA,18.0, 3.0,2.0,0, 0,12, 5, 3, 1, 1,NA, 1, 0, 0,NA,NA,NA,NA, 0,NA, 0,NA, 0,NA,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"19",NA,"Texas Lyceum","123501","poll","8/16 - 8/25","","358 LV","5.2","",Biden,,+6.0,#009900,2019-09-05 14:42:36,"https://www.texaslyceum.org/assets/docs/Poll/2019/2019_Texas%20Lyceum_TOPLINES.pdf",2019-08-16,2019-08-25,"1","Biden","","+6.0","#009900",13.0,24,NA,15.0, 3.0,3.0,1, 0,18, 4, 4, 2, 2,NA, 0, 1, 1, 0,NA, 0,NA, 0, 1, 0,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"DMN/Emerson","123084","poll","8/1 - 8/3","","400 LV","","",Biden,,+9.0,#009900,2019-08-06 11:29:39,"https://www.dallasnews.com/news/elections-2020/2019/08/06/new-poll-biden-leads-orourke-texas-presidential-primary-race-sen-john-cornyn-wide-open",2019-08-01,2019-08-03,"1","Biden","","+9.0","#009900",16.0,28,NA,14.0, 7.0,0.0,1, 0,19, 5, 2, 3, 2,NA, 0, 0, 1, 0, 0, 0,NA, 1, 0, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"CBS News/YouGov","122838","poll","7/9 - 7/18","","910 LV","","",Biden,,+10.0,#009900,2019-07-21 13:47:42,"https://drive.google.com/file/d/0ByVu4fDHYJgVSHlRQWtlanA5MFFNdldVQnR6T2VPWlhFRmdr/view",2019-07-09,2019-07-18,"1","Biden","","+10.0","#009900",12.0,27,NA,16.0, 4.0,1.0,1, 0,17,12, 4, 1, 0,NA, 1, 0, 1, 1, 0, 0,NA, 0, 0, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,"UT/Texas Tribune","122357","poll","5/31 - 6/9","","483 LV","","",Biden,,+8.0,#009900,2019-06-17 09:10:58,"https://static.texastribune.org/media/files/37f0df99625cb149d9609eb36a7d68af/ut-tt-201906-summary-1.pdf",2019-05-31,2019-06-09,"1","Biden","","+8.0","#009900",12.0,23,NA,14.0, 8.0,1.0,3,NA,15, 5, 3, 0, 1,NA, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Quinnipiac University","Quinnipiac","122198","poll","5/29 - 6/4","","407 RV","5.8","",Biden,,+14.0,#009900,2019-06-05 14:05:09,"https://poll.qu.edu/texas/release-detail?ReleaseID=2625",2019-05-29,2019-06-04,"1","Biden","","+14.0","#009900",15.0,30,NA,11.0, 3.0,0.0,0,NA,16, 4, 4, 1, 1,NA, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0,NA,NA,NA,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"4","Emerson College","Emerson","121665","poll","4/25 - 4/28","","342 RV","5.3","",Biden,,+1.0,#009900,2019-04-29 08:36:43,"https://emersonpolling.reportablenews.com/pr/2020-texas-biden-and-beto-in-dead-heat-in-democratic-primary",2019-04-25,2019-04-28,"1","Biden","","+1.0","#009900",17.0,23,NA, 7.0, 8.0,3.0,0,NA,22, 3, 4, 3, 1,NA, 1, 0, 0, 1, 1, 0, 0, 0, 0,NA, 1,NA,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
