fte_pollster_name,fte_pollster_ratings_id,rcp_pollster_name
Aspen Media & Market Research,17,
Jim Meader (KELOLAND-TV),159,
Canisius College,43,
University of Tennessee,362,
Central Surveys Inc.,46,
Wood Communications Group,388,
RMS Research,273,
Market Strategies International,189,
Cooper & Secrest,60,
Red Sea Communications,278,
Garin-Hart-Yang Research Group,113,
Bendixen & Amandi International,29,
Dynamic Marketing Inc.,83,
Vox Populi Polling,529,
Diversified Research Inc,80,
Thirty-Ninth Street Strategies,460,
YouGov,391,Economist/YouGov
Lauer Lalley Victoria Inc.,168,
Dartmouth College,72,
Franklin & Marshall College,106,
Voter/Consumer Research,371,
University of Georgia,350,
Ohio State University,236,
Associated Industries of Florida,18,
Global Strategy Group/National Research (Philadelphia Inquirer),119,
Market Trends Pacific,190,
Basswood Research,24,
NRECA Market Research,223,
Tel Opinion Research,334,
Wick Communications,381,
Belden Russonello,28,
University of North Carolina,359,
Analytical Group,11,
ASA Marketing Group,5,
Schoen Consulting,301,
Braun Research,33,
Virginia Commonwealth University,370,
Benenson Strategy Group,30,
Becker Institute,26,
Meeting Street Research,204,
Gordon S. Black Corp.,123,
Cromer Group,65,
Strategic Services,319,
Vox Populi Polling,372,
New England College,228,
DHM Research,76,
University of Nevada Las Vegas,356,
Victoria Research & Consulting,369,
Rhode Island College,285,
GfK Group,115,
Public Strategies Inc.,264,
Clarus Research Group,53,
West Virginia Research Center,378,
FM3 Research,91,
Zimmerman & Associates/Marketing Intelligence,394,
Kiley & Company,162,
Rice University,286,
DFM Research,69,
Val Smith,367,
Polling Company/Global Strategy Group (Hotline Bullseye),255,
Independent Market Research,148,
Old Dominion University,238,
Overtime Politics,247,
Harvard University,135,
Hill Research Consultants,140,
A&A Research,2,
Decision Forecasting,77,
TMR Research,328,
"California State University, Bakersfield",41,
Illinois Wesleyan University,147,
West Chester University,377,
Southern Opinion Research,311,
Tulsa Surveys,341,
HighGround Inc.,416,
Marketing Research Institute,192,
Riley Research Associates,290,
Feldman Group,93,
Franklin Pierce University,107,
University of Denver,348,
Big Ten,31,
Ipsos,154,Reuters/Ipsos
CallFire,42,
Arthur J. Finkelstein & Associates,16,
JMC Analytics/Bold Blue Campaigns,503,
"Normington, Petts & Associates",232,
NPR,222,
PSI,248,
MarketAide Services Inc.,191,
Opinion Savvy/InsiderAdvantage,243,
Talmey-Drake Research & Strategy Inc.,329,
Ron Lester and Associates,293,
Wilson Research Strategies,384,
Forman Center,100,
Minnesota State University Moorhead,211,
JMC Analytics,156,
Blumenthal Research Daily,447,
Opinion Consultants,241,
Bannon Communications,21,
Tulchin Research,340,
McCulloch Research & Polling,201,
Howey Politics/DePauw University,142,
Hoffman Research Group,141,
Glover Park Group,120,
Anderson Group,12,
Glengariff Group Inc.,117,
Wiese Research Associates Inc.,382,
SMS Research & Marketing Services Inc.,296,
Baselice & Associates,23,
Clarity Campaign Labs,52,
Lauer Johnson Research,167,
Neighbor,226,
SocialSphere,307,
Florida Poll,99,
Gonzales Research & Marketing Strategies Inc.,121,
Cherry Communications,49,
Lycoming College,176,
OpinionWorks,244,
Data West Polling,74,
PSB Research,250,
Douglas Fulmer & Associates,82,
GQR Research (GQRR),126,
Strategic Research Associates,462,
University of Alabama at Birmingham,344,
OnMessage Inc.,239,
Abacus Associates,6,
WCIA-TV,373,
St. Cloud State University,312,
Schapiro Group,300,
Hays Research Group,136,
University of Iowa,353,
RRH Elections,274,
Greg Smith and Associates,128,
Jeffrey Stonecash,158,
Ohio University,237,
Rainmaker Media Group,276,
Alaska Survey Research,155,
Southeastern Louisiana University,309,
1892 Polling,461,
East Tennessee State University,456,
Hellenthal & Associates,137,
Consumer Logic,59,
DCCC Targeting and Analytics Department,68,
Multi-Quest International,220,
Star Tribune,315,
Magellan Strategies,179,
SoonerPoll.com,308,
Gravis Marketing,124,
Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports
Research America Inc.,282,
St. Pete Polls,314,
Dan Jones & Associates,70,
OH Predictive Insights/MBQF,235,
Massie & Associates,199,
IMGE Insights,145,
Arizona State University,15,
Hamilton Campaigns,130,
Capital Survey Research Center,44,
Harris Insights & Analytics,133,Harvard-Harris
20/20 Insight,1,
CVOTER International,40,
Millersville University,210,
R.L. Repass & Partners,268,
Sacred Heart University,453,
Lucid,175,
Kimball Political Consulting,163,
Marketing Workshop,194,
Ed Renwick/Loyola University New Orleans,85,
Susquehanna Polling & Research Inc.,326,
Momentum Analysis,214,
Praecones Analytica,257,
University of Texas at Tyler,458,
Florida Atlantic University,97,
Loras College,171,
Global Strategy Group,118,
Valley Research,368,
Harper Polling/Clarity Campaign Labs,513,
"Schroth, Eldon & Associates",302,
Morning Consult,218,Morning Consult
Morning Consult,218,Politico/Morning Consult
Zogby Interactive/JZ Analytics,395,
University of Texas,363,
Alabama State University,8,
University of New Orleans,358,
IVR Polls,146,
Change Research,48,
TargetSmart/William & Mary,332,
Dixie Strategies,81,
Hampton University,131,
Strategic National,318,
Master Image,200,
ALG Research,14,
Clout Research/Wenzel Strategies,55,
WPA Intelligence (WPAi),383,
Western Kentucky University,379,
Ogden & Fry,425,
Columbus Dispatch,57,
OnPoint,240,
Marketing Resource Group (MRG),193,
M4 Strategies,177,
Target Insyght,330,
BK Strategies,20,
Probolsky Research,259,
The Polling Company Inc.,337,
USC Dornsife/LA Times,343,LA Times/USC
Forward Strategies,102,
Data for Progress,522,
Victory Enterprises,525,
CSP Polling,39,
RABA Research,269,
Riggs Research Services,289,
Pacific Market Research,459,
Craciun Research Group,61,
Constituent Dynamics,58,
Purple Strategies,265,
Roanoke College,292,
Revily,284,
AFL-CIO,526,
"University of California, Berkeley",457,
Cranford & Associates,62,
Rivercity Polling,291,
War Room Logistics,374,
Diamond State Consulting Group,78,
Maine People's Resource Center,180,
BIGresearch,19,
We Ask America,376,
Triumph Campaigns,339,
Rossman Group,294,
Singularis Group,306,
Critical Insights,64,
People's Pundit Daily,251,
TargetPoint,331,
Trafalgar Group,338,
BWD Global,527,
Liberty Opinion Research,169,
Iona College,152,
CrossTarget,66,
co/efficient,514,
Remington Research Group,279,
RAND (American Life Panel),270,
TeleResearch Corporation,335,
McLaughlin & Associates,203,
MarblePort,182,
Datamar,75,
Targoz Market Research,454,
Great Lakes Strategies Group,125,
ResearchNow,283,
New Frontier Strategy,229,
Zata3,392,
Merriman River Group,207,
Optimus,245,
GCR & Associates,110,
Slingshot Strategies,451,
Strategy Research,322,
Glascock Group,116,
GaPundit.com,111,
Spry Strategies,508,
ccAdvertising,396,
Baldwin Wallace University,401,
Google Surveys,122,
Indiana University-Purdue University Fort Wayne,150,
Saguaro Strategies,298,
Humphrey Institute,143,
Opinion Research Associates,242,
Zia Poll,393,
Brown University,35,
Baydoun Consulting,25,
Mitchell Research & Communications,213,
Carroll Strategies,450,
TP Research,452,
Dane & Associates,71,
CPEC LLC,38,
Brigham Young University,34,
Fort Hays State University,101,
Saint Leo University,299,
SurveyMonkey,324,
TCJ Research,327,
Nielson Brothers Polling,231,
Jayhawk Consulting,157,
